PeriodId,cHRev-306-replacerandom,AcHRev-307-replacerandom,TurnoverRec-312-replacerandom,Sofia-313-replacerandom,RAR-316-replacerandom,WhoDo-315-replacerandom,SofiaWL-314-replacerandom,RAR-317-addDefect_25,RAR-318-addDefect_50,RAR-319-addDefect_75
4,7.01137310440307,8.9582978371429,-1.03267444049739,4.62234421403407,4.62234421403407,6.67820165266075,3.86591131401088,6.67820165266075,5.16590270931838,5.16590270931838
5,26.1467284778295,28.5082221190855,-6.14411599116734,11.7774253170138,9.86815783100861,7.66159583187849,-3.04542873559664,15.7357584278658,10.8447807880341,10.8447807880341
6,35.604291616987,35.5325916234095,-1.91259985930097,27.763182837668,27.763182837668,7.90898739054058,-0.0541712207629219,34.9841965747995,27.763182837668,27.763182837668
7,27.6469087857248,23.5343825027266,-16.574218995189,21.1521452360095,21.1521452360095,5.20079972178673,-9.91472353039633,29.2222844664773,21.2951063108528,21.1521452360095
8,20.6868537385339,23.312008205991,-19.2972008422347,19.9172603458654,19.9172603458654,4.09308361504706,-12.4482756884963,21.3644142138765,19.9172603458654,19.9172603458654
9,16.0968574309156,16.0968574309156,-14.1855678340416,11.8316324783675,11.8316324783675,-1.28152864871308,-12.9446193619636,16.7666681745766,13.3659578058908,11.8316324783675
10,13.9844024679901,15.5561420976053,-15.2296876837926,11.3680518636241,12.1786177541711,0.0647491794057098,-9.17956202299994,23.5122553419573,12.6379417619074,12.1786177541711
11,19.0069845695145,20.7406710348646,-12.3313891988341,17.8904751078187,18.407132767867,-1.90930210901235,-5.79400816892327,22.3164690913635,18.5946592927135,18.407132767867
12,14.0673544503842,14.210470190675,-16.8155989492237,13.4934370317185,13.7098301485883,-9.14163081043967,-16.706443373704,15.6047377744404,13.4934370317185,13.4934370317185
13,14.2554941253453,15.9322322583411,-17.9593074503402,12.6392670337578,12.7817491824883,-12.9549471974221,-17.9593074503402,15.5864473362649,12.7817491824883,12.7817491824883
14,13.4059407867516,14.7237915619438,-12.4203765187892,9.8352308014606,8.40305232606953,-7.92174122776013,-12.2086818482112,13.3478093001434,9.67468549570063,8.30047709982678
15,14.2124991491331,14.7892559994978,-16.2602303875184,12.4246914547578,12.4246914547578,-6.94075827011285,-15.6240012040672,15.8972062039827,12.4246914547578,12.4246914547578
16,18.0255379918861,18.2519605120087,-22.5760233035714,16.462074463474,16.462074463474,-17.8240054294043,-24.8556324429452,21.9728346003136,17.8289137865439,16.462074463474
17,10.9574950926698,11.9896936705363,-18.4062505314736,9.74333770531361,9.35242881310632,-15.081995592506,-18.2757963786194,11.3904114387334,9.74333770531361,9.48016433784649
18,25.0697447165464,25.8718063524459,-18.028996194162,22.944377172495,22.4819053806933,-8.20675249850018,-16.9250409837936,25.6205318031821,23.1095068832317,22.4819053806933
19,21.3231884159312,21.743335625505,-15.8784844745314,19.4979301566324,19.0483465193622,-11.1890376248978,-19.5165588847814,24.0477620602264,19.4979301566324,19.4979301566324
20,14.8624623248599,18.1252957247015,-17.3969190819335,14.7298024789668,14.1850995531176,-7.30664335265883,-18.8013415022063,20.0439802387278,14.1850995531176,14.1850995531176
21,20.1577815188722,21.7611372171821,-19.2257535719765,19.8977557172903,19.6887390285828,-6.33131224097848,-17.8413018973189,27.9546245707543,19.9479226448251,19.7551440857683
22,18.632498497508,18.632498497508,-17.8505022185782,18.632498497508,18.632498497508,4.59680015448223,-1.56358607468823,18.632498497508,18.632498497508,18.632498497508
Overall,18.199308554542,19.1510874489265,-17.1276219590012,15.3064647040611,15.3064647040611,-7.66765672138287,-15.5529250470451,20.2604601948811,15.7694142509119,15.4158106775828
