PeriodId,cHRev-306-replacerandom,AcHRev-307-replacerandom,TurnoverRec-312-replacerandom,Sofia-313-replacerandom,RAR-316-replacerandom,WhoDo-315-replacerandom,SofiaWL-314-replacerandom,RAR-317-addDefect_25,RAR-318-addDefect_50,RAR-319-addDefect_75
4,-10.3658536585366,-10.9756097560976,12.8048780487805,9.14634146341464,0.609756097560976,-16.4634146341463,7.31707317073171,43.2926829268293,23.780487804878,15.2439024390244
5,-8.83882149046794,-13.8648180242634,19.7573656845754,11.7850953206239,0.693240901213166,-19.5840554592721,12.8249566724437,28.0762564991335,17.3310225303293,12.1317157712305
6,-9.15032679738562,-10.7843137254902,14.3790849673203,6.86274509803921,2.61437908496731,-21.5686274509804,8.16993464052287,32.0261437908497,11.1111111111111,7.51633986928104
7,-8.82352941176471,-11.5384615384615,10.4072398190045,2.94117647058822,2.03619909502262,-17.420814479638,3.16742081447965,23.3031674208145,7.23981900452488,3.61990950226245
8,-10.2272727272727,-10.9090909090909,6.36363636363637,0.454545454545463,-1.59090909090909,-20,-3.18181818181819,24.7727272727273,5,1.36363636363637
9,-5.00927643784786,-8.16326530612245,1.66975881261595,3.52504638218925,2.41187384044528,-18.9239332096475,-6.12244897959183,27.2727272727273,9.46196660482375,4.45269016697589
10,0.89285714285714,-3.39285714285714,4.46428571428572,7.32142857142857,4.82142857142858,-25.7142857142857,-9.82142857142857,38.2142857142857,19.1071428571429,10.5357142857143
11,-4.40044004400441,-6.6006600660066,3.3003300330033,1.32013201320131,0.55005500550056,-32.8932893289329,-15.0715071507151,22.1122112211221,8.80088008800881,4.40044004400439
12,-4.19026047565119,-5.32276330690826,-2.15175537938845,0.339750849377118,-0.339750849377118,-33.9750849377123,-24.2355605889015,17.6670441676104,2.49150622876557,0.566251415628538
13,-4.20017873100983,-6.4343163538874,-3.03842716711349,0.893655049151021,0.804289544235925,-45.3083109919571,-27.3458445040214,19.124218051832,5.36193029490617,1.96604110813225
14,1.13753877973113,-0.413650465356774,0.310237849017581,4.8603929679421,3.92967942088935,-36.6080661840745,-24.9224405377456,15.6153050672182,7.75594622543951,4.96380558428129
15,5.2,1.73333333333334,-0.666666666666671,8.13333333333333,7.33333333333333,-24.6666666666667,-22.9333333333333,24.9333333333333,13.3333333333333,9.73333333333333
16,5.69696969696969,-1.6969696969697,-3.27272727272727,6.54545454545454,6.42424242424242,-39.5151515151515,-32.4848484848485,28.969696969697,15.8787878787879,9.45454545454545
17,7.24762726488353,2.32959447799828,-1.29421915444349,10.6988783433995,9.40465918895599,-35.893011216566,-28.3865401207938,23.3822260569456,14.3226919758412,11.5616911130285
18,-1.88679245283019,-10.4222821203953,-16.5318957771788,1.70709793351302,0,-42.9469901168014,-34.681042228212,14.3755615453729,3.95327942497754,1.61725067385445
19,4.78723404255319,-0.664893617021278,-5.0531914893617,7.04787234042554,6.25,-40.2925531914894,-38.031914893617,20.4787234042553,11.8351063829787,8.64361702127661
20,-3.93518518518519,-6.55864197530864,-14.7376543209877,-1.31172839506173,-1.85185185185185,-46.2191358024691,-44.3672839506173,8.10185185185186,0.92592592592593,-0.848765432098764
Median,-4.19026047565119,-6.55864197530864,0.310237849017581,4.8603929679421,2.03619909502262,-32.8932893289329,-22.9333333333333,23.3822260569456,9.46196660482375,4.96380558428129
Average,-2.70974767558597,-6.09880389370033,1.57119294496306,4.83948339656265,2.59415439503867,-30.4701994646936,-16.4768603663215,24.2187154450945,10.4524080983397,6.2895363949477
