PeriodId,cHRev-217-replacerandom,AcHRev-218-replacerandom,TurnoverRec-223-replacerandom,Sofia-224-replacerandom,RAR-227-replacerandom,WhoDo-226-replacerandom,SofiaWL-225-replacerandom,RAR-228-addDefect_25,RAR-229-addDefect_50,RAR-230-addDefect_75
3,0,3.83563234947026,-100,0,0,0,0,51.2731677827386,51.2731677827386,51.2731677827386
7,0.26753898320766,0.26753898320766,-16.9448951303924,0.26753898320766,0.26753898320766,0,0.26753898320766,17.2124341136001,17.2124341136001,17.2124341136001
8,-50.1040185854506,0,-56.2200302987812,-50.1040185854506,-50.1040185854506,0,-52.2472031810782,6.50526270273384,6.50526270273384,-50.1040185854506
9,-0.538133432729448,65.9861560651216,-7.44036934599828,-0.538133432729448,-0.538133432729448,50.7720432802632,-0.538133432729448,2.1365348209234,2.1365348209234,-0.538133432729448
10,-3.04334807848681,14.8849769551135,-2.73438240772382,0.99082085743103,0.99082085743103,9.34305826912543,0.0946041852107893,12.4679594210347,1.59388474860545,0.99082085743103
11,11.6996335406007,26.315380402445,-3.90859171587089,10.6692721845739,11.4989736037543,13.5056672180334,10.1671770572644,21.8981801432775,19.0442867233948,12.0927574454716
12,20.9430062829965,34.6747868444409,-5.07837662330912,21.4045824412792,19.5041427370392,8.84963518502491,0.923625650229676,32.9934200392861,26.6992925956102,22.1487085984105
13,9.4283591444559,47.9034678953298,-8.56822466186785,7.01279643822526,8.49186193170808,16.6010079158723,-0.797983819458814,17.3517047766961,10.6768930928291,10.1887149322549
14,21.2639213672819,29.0660248668081,-23.4553691454876,12.0381744664559,17.5961718656756,-11.8146584044753,-14.0880492549425,32.0045247628137,23.2193115670588,18.4849459961966
15,20.6380199654658,24.8392496495891,-21.0083311611368,10.0281649779579,15.4163587743498,-11.8818320519974,-15.0474100273025,32.0569543265793,22.9632536535889,17.0906286280285
16,21.3820144449841,25.1524569423742,-18.8022739813824,15.3012260314111,16.2393020981691,-7.95857562572414,-15.2707843367236,39.1877339050963,24.1624489124142,16.8127657323556
17,21.3881189224312,25.5467975315441,-18.9260043233343,17.8005945065889,18.771741553728,-10.6414047084623,-16.7666364019159,39.3790028672876,24.5362933633511,19.4617373098297
18,32.0403178297726,35.5152699020566,-7.42238116171553,26.7184598329841,29.3407451028539,-2.42755620751309,-9.40438040768513,44.6103911467071,33.7146345658562,29.734739410324
19,26.0605160148462,29.7019327270237,-20.0817080473562,22.1129510856116,23.4330762970679,-13.3178895333852,-17.5421018298737,43.3571434396457,26.8863448503408,23.9997783306718
20,27.0257504395383,29.4890094047131,-21.6109245729313,23.0832805610173,23.5145903242926,-14.396069006918,-23.5841553424718,44.9258055402362,24.4817626024605,23.7294786845474
21,26.0486133400305,28.1901450239741,-24.2857040769156,21.8973759267343,23.0716509290767,-14.529148302931,-24.206746497827,42.4961680432841,25.4348956843405,23.306610605195
22,30.2855162641576,31.8259292020061,-16.6882015678957,25.3310646292038,27.2935735175164,-13.3059883156404,-19.748928850097,46.3482048235686,31.1563442252265,27.8957217898204
23,26.944881929906,29.337255554043,-22.5974553994152,22.499755266753,24.0129901077324,-16.8611072996932,-24.1050322962008,43.9918293933782,28.5909885764395,24.6528721602053
24,27.9074288385903,29.6465663224322,-22.6484727357192,22.4213272397151,25.8595658536218,-12.2593337856796,-22.4449558390588,44.8265831966254,34.3786721692933,26.8445864286688
25,32.2917726602776,35.2099778681479,-20.3951812843679,26.4320682745643,29.9732408045698,-12.3196362231699,-18.6378286330094,47.5821799400766,37.6377399203504,30.5933696227686
26,25.6928783847145,27.3875999116508,-24.706430090449,19.1170313862039,23.2055986765138,-12.2123024380559,-21.4248514654743,42.282367791255,30.9046887145455,24.8509885637202
27,24.5409475327576,26.6033123924716,-21.7312337705281,18.8200279835941,23.2821964887071,-13.2871652324797,-18.3515713975419,40.496782337529,33.1535948120979,24.4945613224406
28,25.1716533054914,27.2718156506971,-15.3509265166551,17.382149443248,22.7864486744631,-12.4385935100959,-20.1247278028993,41.3705519778443,31.0777516054496,24.2004474665431
29,30.231397427958,32.031353154753,-20.5165709452277,23.7424174209136,28.4956937847567,-9.93305044859412,-18.7504351580187,45.4089803813027,37.8587898606367,29.2972577434183
30,28.1043681757971,30.3544231000097,-20.5637304901455,21.0697651526849,26.9203870676547,-11.1946312674601,-18.2061673756997,46.136329846951,40.8554986767874,28.7850474729378
31,26.3948389597761,28.4757949962441,-17.8297562688798,16.9081551861235,24.2441748437203,-11.6924852840161,-17.0009057262393,41.0675723565058,33.3513751504658,25.3410686037103
32,25.0404576839227,27.7662100468327,-19.1770334644201,17.9272175338954,22.3059914705035,-12.9316958629965,-18.7282203381323,41.0759735671749,32.1904808281616,23.8600258086001
33,25.7820646837905,28.1963760998041,-19.9789176586152,17.0303548312762,22.8796862031555,-13.8915286449989,-18.6033121579722,40.695064489496,33.9600108643774,24.4294041267545
34,24.8034011892626,27.2006567591814,-17.8528891162774,16.0376421751192,22.4052453369391,-10.6459713423324,-15.9479039647281,38.2425951455763,32.8112829534954,23.8018116508843
35,32.1656141906126,34.7412131638976,-16.6979039942624,24.8954910243016,28.9792500573471,-6.18224137602097,-14.3084039838659,44.2547162906108,35.5493009796451,31.0391033448143
Median,25.106055494707,28.3360855480241,-19.5779755615177,17.8639060202421,22.8330674388093,-11.4435582757381,-17.2715037780565,41.0717729618403,29.7478386454925,23.929902069636
Average,18.9952510468653,27.9139103255128,-21.1074089985687,14.2765851274298,17.0046288642458,-5.23504843347736,-14.8141294548345,36.1212039789945,27.1339073705606,20.1990467504721
