PeriodId,cHRev-217-replacerandom,AcHRev-218-replacerandom,TurnoverRec-223-replacerandom,Sofia-224-replacerandom,RAR-227-replacerandom,WhoDo-226-replacerandom,SofiaWL-225-replacerandom,RAR-228-addDefect_25,RAR-229-addDefect_50,RAR-230-addDefect_75
8,0,0,100,0,0,0,0,0,0,0
10,500,100,300,200,200,200,100,200,200,200
11,111.111111111111,11.1111111111111,-11.1111111111111,-11.1111111111111,111.111111111111,33.3333333333333,-11.1111111111111,0,22.2222222222222,100
12,137.5,25,-37.5,-25,150,112.5,-37.5,-25,0,112.5
13,-4.76190476190477,121.428571428571,-69.0476190476191,-66.6666666666667,-40.4761904761905,121.428571428571,-66.6666666666667,-52.3809523809524,-47.6190476190476,-45.2380952380952
14,1.75438596491229,100,-22.8070175438597,-17.5438596491228,-22.8070175438597,89.4736842105263,-17.5438596491228,-47.3684210526316,-36.8421052631579,-28.0701754385965
15,72.2222222222222,205.555555555556,-19.4444444444444,-11.1111111111111,47.2222222222222,177.777777777778,-13.8888888888889,-63.8888888888889,-38.8888888888889,16.6666666666667
16,-4,50.6666666666667,-54.6666666666667,-53.3333333333333,-26.6666666666667,76,-54.6666666666667,-81.3333333333333,-66.6666666666667,-34.6666666666667
17,-9.58904109589042,-2.73972602739726,-39.7260273972603,-39.7260273972603,-26.027397260274,135.616438356164,-42.4657534246575,-79.4520547945205,-68.4931506849315,-32.8767123287671
18,-13.4831460674157,29.2134831460674,-19.1011235955056,-25.8426966292135,-26.9662921348315,125.842696629213,-26.9662921348315,-84.2696629213483,-62.9213483146067,-29.2134831460674
19,-7.84313725490197,39.2156862745098,-10.7843137254902,-18.6274509803922,-15.6862745098039,71.5686274509804,-18.6274509803922,-86.2745098039216,-53.921568627451,-24.5098039215686
20,4.19354838709678,17.0967741935484,-7.41935483870968,-11.9354838709677,-12.9032258064516,50.3225806451613,-10.9677419354839,-83.5483870967742,-48.0645161290323,-30.3225806451613
21,8.31353919239906,28.0285035629454,-13.3016627078385,-14.2517814726841,-9.73871733966746,113.301662707838,-12.8266033254157,-84.5605700712589,-41.5676959619953,-17.3396674584323
22,15.7894736842105,37.0813397129187,-8.85167464114832,-10.7655502392344,-7.65550239234449,134.928229665072,-9.56937799043063,-87.3205741626794,-43.5406698564593,-14.5933014354067
23,25.214899713467,36.3896848137536,-9.45558739255015,-9.16905444126075,-4.58452722063037,87.9656160458453,-10.8882521489971,-86.5329512893983,-40.974212034384,-17.7650429799427
24,69.7074010327022,52.3235800344234,-23.2358003442341,-16.1790017211704,20.9982788296041,113.597246127367,-19.104991394148,-59.2082616179002,-27.5387263339071,4.81927710843373
25,86.2559241706161,74.6445497630332,-27.9620853080569,-18.957345971564,30.8056872037915,86.7298578199052,-24.6445497630332,-65.8767772511848,-30.5687203791469,9.95260663507109
26,70.856102003643,64.6630236794171,-25.3187613843352,-17.6684881602914,24.2258652094718,160.291438979964,-21.1293260473588,-61.7486338797814,-27.8688524590164,6.19307832422586
27,58.7586206896552,50.4827586206897,-23.0344827586207,-17.2413793103448,21.9310344827586,134.48275862069,-18.0689655172414,-60.1379310344828,-30.6206896551724,5.79310344827586
29,13.2223310479922,11.7531831537708,-31.4397649363369,-28.6973555337904,-0.783545543584718,99.9020568070519,-27.0323212536729,-60.920666013712,-39.5690499510284,-9.50048971596474
30,14.4821264894592,16.3153070577452,-30.06416131989,-27.8643446379468,0.183318056828607,103.2080659945,-23.8313473877177,-60.4949587534372,-39.5050412465628,-9.89917506874427
31,20.9255533199195,20.4225352112676,-27.9678068410463,-22.8370221327968,8.85311871227363,109.255533199195,-20.7243460764588,-61.9718309859155,-39.2354124748491,-5.13078470824949
32,32.3308270676692,36.5914786967419,-0.250626566416046,-23.0576441102757,10.7769423558897,121.679197994987,-16.1654135338346,-69.6741854636592,-43.1077694235589,-4.13533834586466
33,26.8387096774193,26.1935483870968,-13.2903225806452,-22.7096774193548,10.3225806451613,118.193548387097,-17.9354838709677,-62.1935483870968,-36,-3.61290322580645
34,7.78032036613272,29.0617848970252,-21.7391304347826,-36.3844393592677,-3.4324942791762,121.967963386728,-26.5446224256293,-78.4897025171625,-58.1235697940503,-21.5102974828375
35,20.3862660944206,30.68669527897,-20.1716738197425,-32.1888412017167,6.65236051502145,131.974248927039,-21.6738197424893,-68.0257510729614,-46.5665236051502,-13.9484978540773
Median,18.0878698893156,33.5381900463618,-20.9554021272625,-18.7923984759781,0.0916590284143037,113.449454417603,-18.8662211872701,-63.0412186379928,-39.5370455987956,-9.69983239235451
Average,48.3833128098052,46.5840805853243,-6.44966228485807,-14.5719102484953,17.1290256988713,108.897735942116,-18.0978404590468,-52.7181751066539,-28.6916155056477,4.3689121739394
