,Roslyn,Rust,Kubernetes
0,1.0,6.0,3.0
1,12.0,1.0,5.0
2,26.0,2.0,2.0
3,161.0,52.0,4.0
4,6.0,1.0,5.0
5,4.0,1.0,4.0
6,181.0,100.0,80.0
7,83.0,39.0,5.0
8,2.0,3.0,2.0
9,2.0,1.0,2.0
10,4.0,11.0,2.0
11,16.0,12.0,18.0
12,14.0,1.0,2.0
13,4.0,2.0,2.0
14,1.0,2.0,3.0
15,9.0,1.0,2.0
16,111.0,1.0,2.0
17,4.0,2.0,6.0
18,4.0,2.0,3.0
19,1.0,13.0,2.0
20,1.0,1.0,1.0
21,3.0,3.0,1.0
22,2.0,1.0,2.0
23,21.0,12.0,1.0
24,1.0,2.0,2.0
25,1.0,1.0,21.0
26,57.0,377.0,18.0
27,5.0,1.0,3.0
28,4.0,5.0,1.0
29,40.0,1.0,1.0
30,7.0,1.0,1.0
31,20.0,1.0,1.0
32,1.0,1.0,3.0
33,6.0,309.0,2.0
34,12.0,1.0,2.0
35,7.0,2.0,1.0
36,5.0,554.0,2.0
37,1.0,2.0,1.0
38,3.0,110.0,1.0
39,105.0,65.0,1.0
40,1.0,177.0,6.0
41,15.0,5.0,5.0
42,1.0,1.0,1.0
43,2.0,4.0,4.0
44,7.0,21.0,1.0
45,2.0,1.0,32.0
46,17.0,6.0,18.0
47,12.0,4.0,1.0
48,15.0,4.0,5.0
49,24.0,3.0,24.0
50,199.0,3.0,1.0
51,29.0,15.0,1.0
52,1.0,2.0,44.0
53,1.0,1.0,1.0
54,5.0,2.0,1.0
55,108.0,2.0,2.0
56,2.0,46.0,4.0
57,63.0,3.0,2.0
58,7.0,2.0,2.0
59,1.0,2.0,2.0
60,1.0,1.0,1.0
61,2.0,1.0,1.0
62,30.0,1.0,1.0
63,194.0,1.0,3.0
64,1.0,2.0,1.0
65,1.0,1.0,58.0
66,17.0,310.0,1.0
67,20.0,7.0,2.0
68,297.0,17.0,2.0
69,4.0,6.0,1.0
70,10.0,1.0,2.0
71,4.0,8.0,1.0
72,38.0,4.0,37.0
73,21.0,3.0,13.0
74,38.0,2.0,19.0
75,2.0,2.0,26.0
76,3.0,33.0,1.0
77,2.0,57.0,1.0
78,153.0,1.0,5.0
79,1.0,3.0,5.0
80,1.0,2.0,1.0
81,6.0,9.0,1.0
82,17.0,3.0,3.0
83,12.0,33.0,3.0
84,5.0,3.0,32.0
85,24.0,3.0,2.0
86,16.0,3.0,1.0
87,12.0,2.0,8.0
88,43.0,1.0,11.0
89,38.0,1.0,1.0
90,86.0,2.0,7.0
91,15.0,8.0,1.0
92,73.0,7.0,3.0
93,26.0,1.0,3.0
94,11.0,6.0,14.0
95,30.0,3.0,2.0
96,65.0,35.0,2.0
97,42.0,1.0,5.0
98,1.0,1.0,7.0
99,4.0,2.0,1.0
100,1.0,16.0,1.0
101,217.0,21.0,10.0
102,116.0,8.0,3.0
103,186.0,6.0,3.0
104,8.0,1.0,16.0
105,38.0,11.0,26.0
106,49.0,36.0,1.0
107,115.0,73.0,81.0
108,1.0,8.0,1.0
109,1.0,9.0,3.0
110,4.0,1.0,6.0
111,144.0,1.0,36.0
112,208.0,16.0,1.0
113,14.0,46.0,1.0
114,55.0,1.0,2.0
115,3.0,1.0,24.0
116,1.0,1.0,8.0
117,2.0,2.0,20.0
118,34.0,1.0,1.0
119,44.0,1.0,11.0
120,134.0,3.0,257.0
121,2.0,108.0,3.0
122,9.0,1.0,23.0
123,5.0,2.0,8.0
124,3.0,5.0,33.0
125,66.0,1.0,7.0
126,1.0,1.0,3.0
127,11.0,1.0,53.0
128,20.0,10.0,1.0
129,1.0,1.0,1.0
130,14.0,2.0,79.0
131,1.0,1.0,5.0
132,101.0,1.0,19.0
133,35.0,1.0,198.0
134,14.0,1.0,8.0
135,34.0,4.0,206.0
136,57.0,1.0,42.0
137,22.0,1.0,5.0
138,1.0,1.0,5.0
139,9.0,2.0,10.0
140,16.0,19.0,1.0
141,150.0,1.0,1.0
142,20.0,1.0,2.0
143,1.0,4.0,1.0
144,2.0,5.0,4.0
145,1.0,5.0,1.0
146,1.0,2.0,21.0
147,120.0,1.0,38.0
148,205.0,1.0,1.0
149,28.0,1.0,3.0
150,26.0,2.0,1.0
151,1.0,1.0,62.0
152,6.0,2.0,1.0
153,1.0,1.0,3.0
154,1.0,4.0,1.0
155,1.0,4.0,3.0
156,1.0,4.0,3.0
157,1.0,1.0,5.0
158,4.0,1.0,1.0
159,1.0,1.0,2.0
160,2.0,10.0,102.0
161,3.0,1.0,8.0
162,3.0,1.0,2.0
163,2.0,9.0,5.0
164,2.0,3.0,59.0
165,1.0,80.0,30.0
166,1.0,3.0,1.0
167,3.0,1.0,1.0
168,17.0,1.0,1.0
169,9.0,1.0,5.0
170,8.0,1.0,6.0
171,5.0,30.0,1.0
172,41.0,1.0,2.0
173,88.0,9.0,4.0
174,24.0,1.0,1.0
175,73.0,2.0,8.0
176,1.0,3.0,1.0
177,1.0,1.0,1.0
178,2.0,1.0,6.0
179,4.0,13.0,6.0
180,53.0,3.0,4.0
181,74.0,1.0,5.0
182,6.0,21.0,2.0
183,6.0,6.0,3.0
184,13.0,1.0,2.0
185,1.0,2.0,7.0
186,4.0,1.0,2.0
187,8.0,3.0,1.0
188,23.0,3.0,2.0
189,19.0,1.0,60.0
190,1.0,5.0,4.0
191,2.0,1.0,1.0
192,2.0,19.0,1.0
193,2.0,3.0,28.0
194,14.0,55.0,1.0
195,1.0,22.0,1.0
196,19.0,1.0,1.0
197,1.0,3.0,1.0
198,1.0,4.0,2.0
199,2.0,1.0,1.0
200,25.0,1.0,1.0
201,2.0,124.0,3.0
202,37.0,1.0,3.0
203,3.0,1.0,3.0
204,1.0,35.0,18.0
205,1.0,1.0,3.0
206,7.0,2.0,2.0
207,8.0,128.0,13.0
208,1.0,3.0,17.0
209,1.0,1.0,1.0
210,10.0,5.0,3.0
211,1.0,1.0,7.0
212,3.0,146.0,60.0
213,183.0,2.0,1.0
214,14.0,1.0,15.0
215,2.0,2.0,4.0
216,29.0,1.0,21.0
217,7.0,5.0,178.0
218,1.0,1.0,11.0
219,3.0,1.0,1.0
220,17.0,1.0,2.0
221,45.0,21.0,54.0
222,7.0,8.0,229.0
223,16.0,4.0,23.0
224,15.0,1.0,1.0
225,2.0,1.0,56.0
226,5.0,2.0,1.0
227,3.0,16.0,2.0
228,3.0,2.0,74.0
229,40.0,4.0,5.0
230,48.0,3.0,7.0
231,6.0,49.0,9.0
232,2.0,22.0,132.0
233,1.0,2.0,14.0
234,3.0,28.0,1.0
235,3.0,4.0,4.0
236,3.0,59.0,1.0
237,1.0,1.0,4.0
238,2.0,9.0,1.0
239,1.0,25.0,6.0
240,2.0,1.0,6.0
241,13.0,3.0,368.0
242,3.0,1.0,282.0
243,1.0,1.0,6.0
244,11.0,6.0,35.0
245,1.0,12.0,5.0
246,37.0,1.0,6.0
247,1.0,1.0,63.0
248,67.0,5.0,1.0
249,62.0,1.0,2.0
250,15.0,1.0,1.0
251,2.0,1.0,1.0
252,6.0,1.0,1.0
253,1.0,25.0,11.0
254,2.0,26.0,8.0
255,6.0,69.0,54.0
256,1.0,1.0,1.0
257,1.0,1.0,6.0
258,1.0,1.0,1.0
259,1.0,2.0,1.0
260,113.0,1.0,9.0
261,1.0,34.0,40.0
262,1.0,2.0,40.0
263,1.0,2.0,3.0
264,1.0,1.0,1.0
265,15.0,2.0,6.0
266,1.0,1.0,3.0
267,1.0,1.0,5.0
268,2.0,1.0,201.0
269,2.0,6.0,6.0
270,1.0,11.0,59.0
271,1.0,1.0,3.0
272,1.0,1.0,58.0
273,3.0,253.0,35.0
274,4.0,109.0,4.0
275,3.0,3.0,123.0
276,3.0,38.0,2.0
277,1.0,23.0,2.0
278,1.0,6.0,48.0
279,45.0,1.0,49.0
280,3.0,1.0,3.0
281,1.0,4.0,61.0
282,1.0,1.0,11.0
283,1.0,3.0,11.0
284,1.0,2.0,248.0
285,1.0,1.0,7.0
286,30.0,1.0,15.0
287,1.0,1.0,53.0
288,2.0,10.0,15.0
289,12.0,8.0,28.0
290,1.0,1.0,9.0
291,15.0,3.0,20.0
292,1.0,6.0,9.0
293,44.0,62.0,7.0
294,19.0,1.0,1.0
295,5.0,1.0,1.0
296,1.0,1.0,3.0
297,6.0,5.0,8.0
298,1.0,1.0,32.0
299,66.0,9.0,71.0
300,1.0,3.0,1.0
301,7.0,1.0,83.0
302,1.0,1.0,54.0
303,1.0,4.0,3.0
304,1.0,9.0,42.0
305,1.0,6.0,1.0
306,77.0,1.0,11.0
307,1.0,1.0,1.0
308,20.0,5.0,9.0
309,186.0,4.0,4.0
310,2.0,3.0,5.0
311,1.0,1.0,1.0
312,1.0,2.0,99.0
313,1.0,1.0,22.0
314,1.0,1.0,1.0
315,1.0,1.0,14.0
316,2.0,1.0,297.0
317,2.0,2.0,2.0
318,2.0,1.0,3.0
319,5.0,1.0,1.0
320,1.0,1.0,213.0
321,3.0,5.0,1.0
322,2.0,4.0,170.0
323,1.0,2.0,52.0
324,4.0,2.0,37.0
325,1.0,9.0,3.0
326,6.0,1.0,1.0
327,2.0,1.0,1.0
328,4.0,2.0,5.0
329,4.0,1.0,11.0
330,31.0,7.0,7.0
331,2.0,4.0,13.0
332,3.0,1.0,3.0
333,17.0,1.0,48.0
334,110.0,1.0,15.0
335,2.0,10.0,69.0
336,11.0,8.0,6.0
337,11.0,1.0,30.0
338,1.0,1.0,12.0
339,1.0,26.0,10.0
340,2.0,1.0,51.0
341,3.0,4.0,27.0
342,3.0,1.0,8.0
343,10.0,1.0,1.0
344,1.0,1.0,26.0
345,2.0,47.0,1.0
346,1.0,1.0,1.0
347,45.0,1.0,9.0
348,69.0,1.0,83.0
349,1.0,5.0,3.0
350,2.0,4.0,2.0
351,3.0,2.0,3.0
352,2.0,2.0,40.0
353,8.0,1.0,6.0
354,5.0,11.0,2.0
355,1.0,2.0,15.0
356,4.0,15.0,3.0
357,23.0,4.0,2.0
358,9.0,3.0,1.0
359,1.0,4.0,8.0
360,2.0,2.0,4.0
361,191.0,6.0,14.0
362,3.0,7.0,3.0
363,54.0,2.0,1.0
364,11.0,7.0,3.0
365,49.0,1.0,2.0
366,1.0,3.0,2.0
367,40.0,1.0,4.0
368,40.0,1.0,7.0
369,4.0,4.0,1.0
370,2.0,3.0,1.0
371,9.0,1.0,1.0
372,2.0,1.0,13.0
373,4.0,2.0,6.0
374,8.0,3.0,2.0
375,16.0,1.0,12.0
376,6.0,1.0,10.0
377,1.0,34.0,1.0
378,5.0,2.0,23.0
379,87.0,1.0,1.0
380,2.0,1.0,9.0
381,17.0,157.0,1.0
382,1.0,11.0,2.0
383,3.0,7.0,4.0
384,46.0,1.0,1.0
385,1.0,1.0,1.0
386,6.0,1.0,20.0
387,1.0,3.0,2.0
388,161.0,16.0,1.0
389,32.0,2.0,4.0
390,204.0,6.0,2.0
391,7.0,1.0,1.0
392,41.0,9.0,2.0
393,3.0,4.0,20.0
394,116.0,5.0,49.0
395,1.0,2.0,57.0
396,4.0,1.0,2.0
397,2.0,6.0,37.0
398,1.0,6.0,2.0
399,84.0,2.0,2.0
400,7.0,16.0,6.0
401,277.0,1.0,1.0
402,2.0,1.0,5.0
403,9.0,9.0,3.0
404,20.0,2.0,7.0
405,1.0,2.0,5.0
406,17.0,5.0,4.0
407,27.0,13.0,2.0
408,81.0,1.0,1.0
409,21.0,4.0,1.0
410,111.0,11.0,63.0
411,2.0,1.0,1.0
412,6.0,1.0,2.0
413,44.0,31.0,15.0
414,1.0,5.0,24.0
415,9.0,10.0,2.0
416,1.0,1.0,2.0
417,22.0,4.0,67.0
418,3.0,7.0,11.0
419,73.0,1.0,1.0
420,67.0,1.0,11.0
421,1.0,1.0,14.0
422,51.0,1.0,19.0
423,43.0,1.0,1.0
424,41.0,1.0,8.0
425,48.0,2.0,6.0
426,80.0,5.0,1.0
427,2.0,34.0,4.0
428,29.0,1.0,1.0
429,2.0,2.0,2.0
430,17.0,1.0,4.0
431,153.0,9.0,2.0
432,81.0,1.0,1.0
433,30.0,1.0,1.0
434,16.0,4.0,1.0
435,20.0,22.0,25.0
436,222.0,2.0,13.0
437,171.0,1.0,2.0
438,22.0,2.0,1.0
439,3.0,1.0,4.0
440,198.0,1.0,17.0
441,1.0,6.0,1.0
442,110.0,1.0,1.0
443,12.0,1.0,9.0
444,107.0,1.0,2.0
445,140.0,3.0,44.0
446,37.0,2.0,1.0
447,45.0,2.0,2.0
448,7.0,1.0,6.0
449,2.0,1.0,17.0
450,7.0,5.0,2.0
451,99.0,2.0,2.0
452,18.0,5.0,1.0
453,65.0,94.0,10.0
454,30.0,1.0,1.0
455,10.0,2.0,1.0
456,1.0,1.0,5.0
457,2.0,1.0,2.0
458,1.0,1.0,2.0
459,15.0,1.0,2.0
460,1.0,9.0,2.0
461,12.0,5.0,3.0
462,21.0,2.0,3.0
463,34.0,1.0,1.0
464,1.0,17.0,47.0
465,66.0,2.0,1.0
