,Roslyn,Rust,Kubernetes
0,4.0,1.0,3.0
1,24.0,1.0,2.0
2,161.0,2.0,5.0
3,82.0,1.0,4.0
4,6.0,35.0,69.0
5,4.0,1.0,1.0
6,178.0,87.0,18.0
7,2.0,10.0,5.0
8,2.0,13.0,4.0
9,14.0,3.0,21.0
10,4.0,27.0,3.0
11,111.0,1.0,1.0
12,8.0,1.0,2.0
13,13.0,9.0,2.0
14,4.0,1.0,2.0
15,1.0,3.0,4.0
16,1.0,5.0,2.0
17,4.0,1.0,6.0
18,1.0,1.0,2.0
19,4.0,1.0,1.0
20,2.0,2.0,1.0
21,21.0,11.0,3.0
22,4.0,1.0,3.0
23,7.0,2.0,4.0
24,1.0,2.0,1.0
25,1.0,258.0,1.0
26,5.0,1.0,1.0
27,55.0,2.0,1.0
28,6.0,2.0,1.0
29,1.0,1.0,1.0
30,1.0,39.0,2.0
31,5.0,1.0,2.0
32,38.0,1.0,2.0
33,21.0,1.0,3.0
34,2.0,2.0,2.0
35,3.0,1.0,7.0
36,5.0,3.0,1.0
37,16.0,1.0,6.0
38,11.0,16.0,5.0
39,12.0,510.0,17.0
40,7.0,54.0,1.0
41,10.0,4.0,5.0
42,2.0,1.0,1.0
43,2.0,1.0,1.0
44,7.0,5.0,1.0
45,96.0,4.0,20.0
46,53.0,15.0,2.0
47,1.0,3.0,1.0
48,1.0,1.0,16.0
49,1.0,2.0,1.0
50,1.0,1.0,1.0
51,15.0,1.0,2.0
52,2.0,3.0,24.0
53,1.0,1.0,1.0
54,1.0,2.0,5.0
55,194.0,3.0,1.0
56,195.0,5.0,42.0
57,4.0,266.0,2.0
58,27.0,3.0,2.0
59,99.0,4.0,4.0
60,2.0,6.0,19.0
61,24.0,2.0,1.0
62,28.0,327.0,35.0
63,1.0,24.0,2.0
64,5.0,32.0,54.0
65,1.0,6.0,1.0
66,151.0,2.0,1.0
67,17.0,2.0,3.0
68,2.0,3.0,1.0
69,16.0,10.0,2.0
70,10.0,2.0,1.0
71,4.0,6.0,1.0
72,1.0,1.0,2.0
73,25.0,32.0,5.0
74,296.0,41.0,3.0
75,10.0,3.0,4.0
76,21.0,1.0,11.0
77,2.0,3.0,1.0
78,3.0,3.0,1.0
79,38.0,150.0,1.0
80,6.0,1.0,2.0
81,25.0,14.0,24.0
82,81.0,1.0,26.0
83,1.0,1.0,3.0
84,23.0,1.0,18.0
85,38.0,91.0,1.0
86,106.0,1.0,1.0
87,5.0,50.0,15.0
88,19.0,1.0,1.0
89,3.0,4.0,5.0
90,12.0,1.0,23.0
91,42.0,3.0,7.0
92,15.0,5.0,1.0
93,63.0,4.0,1.0
94,209.0,1.0,3.0
95,29.0,34.0,31.0
96,14.0,1.0,1.0
97,63.0,1.0,5.0
98,37.0,6.0,3.0
99,1.0,1.0,1.0
100,38.0,1.0,8.0
101,11.0,1.0,2.0
102,4.0,1.0,1.0
103,1.0,8.0,11.0
104,16.0,1.0,1.0
105,204.0,3.0,1.0
106,1.0,16.0,1.0
107,1.0,4.0,204.0
108,44.0,6.0,9.0
109,1.0,1.0,3.0
110,8.0,2.0,3.0
111,47.0,3.0,5.0
112,2.0,1.0,12.0
113,20.0,1.0,31.0
114,179.0,5.0,1.0
115,1.0,77.0,3.0
116,52.0,6.0,8.0
117,1.0,2.0,69.0
118,1.0,1.0,2.0
119,3.0,4.0,5.0
120,1.0,1.0,3.0
121,1.0,1.0,229.0
122,10.0,38.0,2.0
123,72.0,1.0,70.0
124,9.0,3.0,91.0
125,140.0,2.0,9.0
126,1.0,1.0,23.0
127,3.0,1.0,5.0
128,2.0,3.0,2.0
129,14.0,1.0,7.0
130,3.0,2.0,1.0
131,26.0,1.0,7.0
132,33.0,1.0,2.0
133,109.0,1.0,1.0
134,31.0,2.0,5.0
135,9.0,1.0,55.0
136,134.0,1.0,1.0
137,4.0,1.0,1.0
138,2.0,1.0,17.0
139,14.0,5.0,20.0
140,34.0,1.0,1.0
141,7.0,3.0,27.0
142,1.0,15.0,47.0
143,50.0,2.0,6.0
144,1.0,19.0,3.0
145,5.0,58.0,2.0
146,1.0,1.0,3.0
147,96.0,1.0,1.0
148,6.0,1.0,1.0
149,45.0,1.0,1.0
150,143.0,5.0,10.0
151,1.0,16.0,1.0
152,3.0,11.0,1.0
153,13.0,1.0,21.0
154,2.0,1.0,1.0
155,20.0,16.0,4.0
156,118.0,37.0,15.0
157,6.0,1.0,1.0
158,46.0,1.0,1.0
159,2.0,2.0,40.0
160,3.0,1.0,1.0
161,4.0,13.0,1.0
162,3.0,1.0,8.0
163,1.0,4.0,3.0
164,1.0,1.0,1.0
165,1.0,1.0,13.0
166,2.0,8.0,1.0
167,1.0,1.0,2.0
168,2.0,114.0,1.0
169,13.0,1.0,3.0
170,22.0,6.0,4.0
171,9.0,1.0,2.0
172,3.0,1.0,1.0
173,1.0,4.0,1.0
174,1.0,3.0,1.0
175,1.0,1.0,4.0
176,1.0,1.0,4.0
177,2.0,4.0,2.0
178,2.0,1.0,29.0
179,6.0,1.0,2.0
180,2.0,1.0,19.0
181,1.0,7.0,2.0
182,104.0,2.0,3.0
183,1.0,2.0,2.0
184,9.0,16.0,173.0
185,8.0,11.0,9.0
186,28.0,29.0,5.0
187,2.0,3.0,2.0
188,2.0,3.0,2.0
189,14.0,1.0,56.0
190,1.0,1.0,6.0
191,1.0,1.0,14.0
192,200.0,18.0,19.0
193,1.0,2.0,2.0
194,1.0,1.0,1.0
195,4.0,9.0,1.0
196,8.0,28.0,3.0
197,5.0,21.0,1.0
198,40.0,3.0,46.0
199,1.0,21.0,1.0
200,3.0,8.0,1.0
201,15.0,1.0,34.0
202,15.0,1.0,5.0
203,3.0,16.0,3.0
204,3.0,1.0,6.0
205,23.0,17.0,7.0
206,73.0,1.0,2.0
207,1.0,1.0,126.0
208,75.0,2.0,6.0
209,1.0,1.0,11.0
210,7.0,1.0,3.0
211,50.0,1.0,55.0
212,6.0,1.0,1.0
213,30.0,3.0,1.0
214,19.0,6.0,1.0
215,68.0,1.0,1.0
216,2.0,1.0,6.0
217,2.0,2.0,1.0
218,6.0,5.0,1.0
219,1.0,2.0,8.0
220,5.0,32.0,2.0
221,87.0,1.0,1.0
222,1.0,1.0,1.0
223,3.0,1.0,1.0
224,3.0,5.0,29.0
225,1.0,1.0,1.0
226,3.0,3.0,2.0
227,4.0,1.0,7.0
228,11.0,3.0,1.0
229,19.0,1.0,14.0
230,13.0,1.0,123.0
231,2.0,23.0,1.0
232,1.0,1.0,2.0
233,17.0,4.0,5.0
234,2.0,2.0,6.0
235,1.0,3.0,3.0
236,1.0,4.0,6.0
237,8.0,6.0,71.0
238,1.0,33.0,8.0
239,1.0,222.0,3.0
240,1.0,98.0,219.0
241,14.0,1.0,1.0
242,1.0,3.0,14.0
243,1.0,3.0,56.0
244,1.0,2.0,3.0
245,1.0,1.0,12.0
246,2.0,1.0,6.0
247,3.0,15.0,39.0
248,32.0,9.0,2.0
249,3.0,1.0,3.0
250,3.0,1.0,7.0
251,1.0,1.0,3.0
252,4.0,8.0,1.0
253,3.0,5.0,97.0
254,1.0,4.0,4.0
255,1.0,3.0,196.0
256,175.0,1.0,1.0
257,1.0,96.0,3.0
258,1.0,1.0,170.0
259,3.0,11.0,26.0
260,22.0,1.0,3.0
261,1.0,3.0,45.0
262,1.0,3.0,32.0
263,1.0,1.0,44.0
264,3.0,1.0,4.0
265,2.0,4.0,29.0
266,2.0,1.0,9.0
267,1.0,7.0,276.0
268,24.0,2.0,370.0
269,1.0,1.0,37.0
270,2.0,7.0,13.0
271,1.0,1.0,6.0
272,42.0,1.0,6.0
273,2.0,2.0,9.0
274,1.0,40.0,48.0
275,1.0,2.0,51.0
276,2.0,2.0,7.0
277,16.0,9.0,1.0
278,1.0,8.0,11.0
279,12.0,4.0,71.0
280,15.0,1.0,57.0
281,108.0,7.0,1.0
282,39.0,1.0,1.0
283,25.0,1.0,31.0
284,5.0,1.0,1.0
285,189.0,4.0,4.0
286,44.0,1.0,1.0
287,186.0,4.0,1.0
288,2.0,1.0,6.0
289,69.0,1.0,40.0
290,55.0,1.0,240.0
291,1.0,7.0,5.0
292,3.0,1.0,23.0
293,1.0,1.0,53.0
294,66.0,2.0,1.0
295,5.0,1.0,17.0
296,2.0,1.0,1.0
297,65.0,2.0,57.0
298,17.0,1.0,57.0
299,5.0,117.0,77.0
300,1.0,1.0,2.0
301,1.0,37.0,291.0
302,3.0,3.0,1.0
303,15.0,12.0,10.0
304,6.0,1.0,48.0
305,14.0,3.0,12.0
306,1.0,3.0,12.0
307,6.0,1.0,1.0
308,1.0,1.0,3.0
309,37.0,1.0,58.0
310,4.0,1.0,3.0
311,1.0,4.0,35.0
312,1.0,1.0,3.0
313,2.0,3.0,1.0
314,15.0,1.0,3.0
315,1.0,1.0,1.0
316,34.0,1.0,9.0
317,1.0,6.0,1.0
318,34.0,33.0,67.0
319,4.0,55.0,1.0
320,45.0,3.0,3.0
321,1.0,2.0,3.0
322,2.0,1.0,44.0
323,39.0,6.0,2.0
324,5.0,4.0,10.0
325,13.0,2.0,3.0
326,2.0,4.0,4.0
327,2.0,3.0,1.0
328,1.0,3.0,46.0
329,21.0,6.0,9.0
330,1.0,2.0,1.0
331,18.0,1.0,29.0
332,2.0,3.0,7.0
333,2.0,1.0,12.0
334,26.0,29.0,18.0
335,1.0,8.0,14.0
336,3.0,1.0,168.0
337,5.0,4.0,36.0
338,1.0,1.0,10.0
339,7.0,11.0,9.0
340,1.0,1.0,5.0
341,1.0,8.0,1.0
342,11.0,5.0,10.0
343,1.0,1.0,1.0
344,1.0,2.0,5.0
345,1.0,1.0,185.0
346,2.0,1.0,1.0
347,7.0,2.0,1.0
348,7.0,2.0,1.0
349,1.0,2.0,2.0
350,2.0,9.0,6.0
351,1.0,3.0,2.0
352,1.0,1.0,26.0
353,4.0,2.0,73.0
354,2.0,1.0,1.0
355,2.0,10.0,48.0
356,7.0,1.0,1.0
357,1.0,1.0,7.0
358,1.0,16.0,1.0
359,1.0,3.0,3.0
360,2.0,2.0,5.0
361,1.0,5.0,3.0
362,4.0,1.0,59.0
363,11.0,1.0,1.0
364,5.0,5.0,2.0
365,2.0,5.0,1.0
366,198.0,1.0,2.0
367,5.0,2.0,1.0
368,85.0,1.0,19.0
369,272.0,1.0,1.0
370,3.0,28.0,1.0
371,1.0,1.0,6.0
372,4.0,13.0,8.0
373,8.0,9.0,9.0
374,3.0,2.0,2.0
375,4.0,1.0,2.0
376,16.0,1.0,2.0
377,9.0,1.0,1.0
378,46.0,1.0,1.0
379,2.0,1.0,7.0
380,29.0,54.0,19.0
381,20.0,3.0,4.0
382,162.0,1.0,4.0
383,2.0,8.0,14.0
384,7.0,6.0,4.0
385,4.0,3.0,3.0
386,3.0,4.0,4.0
387,12.0,2.0,7.0
388,2.0,3.0,1.0
389,1.0,6.0,4.0
390,1.0,84.0,2.0
391,1.0,38.0,2.0
392,18.0,1.0,17.0
393,1.0,1.0,1.0
394,7.0,1.0,2.0
395,6.0,1.0,37.0
396,64.0,1.0,6.0
397,6.0,2.0,18.0
398,101.0,1.0,13.0
399,82.0,5.0,10.0
400,20.0,1.0,3.0
401,29.0,1.0,2.0
402,27.0,1.0,6.0
403,9.0,1.0,1.0
404,104.0,1.0,1.0
405,2.0,2.0,14.0
406,82.0,1.0,4.0
407,16.0,2.0,1.0
408,22.0,5.0,8.0
409,38.0,1.0,1.0
410,59.0,1.0,17.0
411,1.0,2.0,5.0
412,1.0,1.0,2.0
413,13.0,6.0,11.0
414,1.0,1.0,3.0
415,56.0,1.0,1.0
416,45.0,1.0,1.0
417,16.0,1.0,1.0
418,1.0,2.0,59.0
419,9.0,12.0,1.0
420,1.0,4.0,13.0
421,17.0,1.0,3.0
422,33.0,20.0,5.0
423,1.0,2.0,8.0
424,81.0,2.0,9.0
425,16.0,8.0,2.0
426,110.0,1.0,2.0
427,13.0,1.0,23.0
428,1.0,20.0,11.0
429,6.0,1.0,1.0
430,21.0,15.0,1.0
431,2.0,1.0,9.0
432,2.0,1.0,2.0
433,4.0,1.0,2.0
434,223.0,1.0,2.0
435,28.0,44.0,1.0
436,71.0,1.0,1.0
437,184.0,2.0,14.0
438,3.0,1.0,2.0
439,1.0,116.0,1.0
440,96.0,52.0,16.0
441,41.0,6.0,2.0
442,36.0,1.0,1.0
443,103.0,2.0,29.0
444,11.0,21.0,14.0
445,8.0,6.0,90.0
446,2.0,1.0,1.0
447,39.0,13.0,41.0
448,45.0,55.0,10.0
449,7.0,1.0,1.0
450,51.0,5.0,1.0
451,2.0,1.0,2.0
452,36.0,7.0,46.0
453,2.0,3.0,2.0
454,1.0,1.0,1.0
455,21.0,5.0,23.0
456,65.0,2.0,48.0
457,131.0,1.0,1.0
458,80.0,17.0,1.0
459,1.0,85.0,2.0
460,3.0,4.0,2.0
461,6.0,1.0,86.0
462,30.0,29.0,5.0
463,146.0,6.0,4.0
464,1.0,2.0,24.0
465,33.0,9.0,10.0
466,167.0,1.0,1.0
467,10.0,1.0,4.0
468,2.0,87.0,1.0
469,8.0,2.0,1.0
470,33.0,2.0,4.0
471,1.0,1.0,1.0
472,103.0,60.0,7.0
473,1.0,2.0,2.0
474,1.0,12.0,70.0
