,Roslyn,Rust,Kubernetes
227,4.0,1.0,6.0
228,9.0,11.0,4.0
229,1.0,2.0,23.0
230,198.0,36.0,1.0
231,7.0,6.0,27.0
232,2.0,1.0,13.0
233,16.0,2.0,1.0
234,9.0,137.0,166.0
235,1.0,37.0,17.0
236,33.0,36.0,60.0
237,1.0,1.0,78.0
238,1.0,3.0,28.0
239,20.0,1.0,289.0
240,12.0,2.0,2.0
241,2.0,33.0,1.0
242,16.0,2.0,214.0
243,3.0,1.0,10.0
244,57.0,3.0,2.0
245,5.0,26.0,5.0
246,40.0,9.0,9.0
247,54.0,30.0,1.0
248,2.0,1.0,1.0
249,1.0,1.0,4.0
250,3.0,1.0,6.0
251,2.0,8.0,1.0
252,3.0,5.0,25.0
253,67.0,5.0,8.0
254,18.0,1.0,1.0
255,36.0,2.0,3.0
256,3.0,1.0,356.0
257,1.0,3.0,453.0
258,20.0,77.0,43.0
259,2.0,3.0,7.0
260,71.0,1.0,2.0
261,7.0,1.0,6.0
262,1.0,1.0,6.0
263,1.0,1.0,71.0
264,1.0,35.0,12.0
265,16.0,1.0,2.0
266,1.0,1.0,1.0
267,1.0,1.0,1.0
268,6.0,1.0,1.0
269,1.0,1.0,10.0
270,1.0,28.0,6.0
271,1.0,2.0,4.0
272,1.0,2.0,1.0
273,1.0,1.0,60.0
274,1.0,3.0,1.0
275,1.0,48.0,1.0
276,1.0,1.0,6.0
277,22.0,1.0,1.0
278,1.0,3.0,2.0
279,1.0,6.0,53.0
280,3.0,7.0,43.0
281,52.0,365.0,10.0
282,1.0,1.0,7.0
283,2.0,141.0,1.0
284,1.0,46.0,4.0
285,1.0,25.0,5.0
286,3.0,1.0,213.0
287,129.0,3.0,64.0
288,1.0,5.0,4.0
289,1.0,13.0,6.0
290,1.0,3.0,70.0
291,1.0,1.0,54.0
292,1.0,1.0,2.0
293,1.0,1.0,6.0
294,3.0,5.0,149.0
295,3.0,149.0,3.0
296,1.0,4.0,54.0
297,1.0,4.0,87.0
298,1.0,2.0,2.0
299,24.0,1.0,109.0
300,1.0,1.0,14.0
301,6.0,1.0,14.0
302,6.0,7.0,307.0
303,1.0,13.0,10.0
304,4.0,3.0,15.0
305,34.0,1.0,72.0
306,3.0,1.0,30.0
307,2.0,1.0,10.0
308,51.0,5.0,39.0
309,1.0,2.0,14.0
310,2.0,1.0,27.0
311,1.0,6.0,2.0
312,1.0,5.0,20.0
313,1.0,1.0,9.0
314,2.0,69.0,1.0
315,15.0,9.0,1.0
316,7.0,8.0,86.0
317,1.0,1.0,4.0
318,124.0,3.0,63.0
319,1.0,1.0,9.0
320,1.0,5.0,3.0
321,15.0,4.0,1.0
322,1.0,1.0,11.0
323,1.0,2.0,11.0
324,1.0,14.0,98.0
325,7.0,1.0,1.0
326,84.0,1.0,47.0
327,1.0,1.0,9.0
328,1.0,1.0,5.0
329,1.0,3.0,1.0
330,1.0,1.0,28.0
331,1.0,1.0,1.0
332,79.0,1.0,144.0
333,1.0,1.0,18.0
334,1.0,10.0,337.0
335,3.0,4.0,2.0
336,7.0,2.0,3.0
337,1.0,1.0,1.0
338,2.0,10.0,225.0
339,2.0,4.0,70.0
340,4.0,2.0,1.0
341,3.0,1.0,201.0
342,7.0,101.0,10.0
343,2.0,2.0,1.0
344,78.0,7.0,5.0
345,2.0,1.0,1.0
346,195.0,5.0,14.0
347,2.0,2.0,7.0
348,2.0,1.0,41.0
349,20.0,14.0,14.0
350,48.0,1.0,1.0
351,5.0,1.0,4.0
352,11.0,9.0,53.0
353,33.0,1.0,20.0
354,4.0,2.0,6.0
355,6.0,1.0,39.0
356,3.0,1.0,10.0
357,25.0,1.0,14.0
358,1.0,53.0,81.0
359,1.0,1.0,118.0
360,57.0,1.0,3.0
361,2.0,4.0,3.0
362,18.0,5.0,31.0
363,11.0,1.0,8.0
364,1.0,5.0,26.0
365,10.0,1.0,64.0
366,1.0,18.0,1.0
367,6.0,5.0,1.0
368,2.0,1.0,1.0
369,2.0,4.0,7.0
370,1.0,2.0,2.0
371,1.0,1.0,15.0
372,2.0,2.0,8.0
373,3.0,1.0,3.0
374,10.0,7.0,17.0
375,3.0,9.0,52.0
376,1.0,1.0,4.0
377,1.0,1.0,2.0
378,1.0,3.0,3.0
379,1.0,3.0,4.0
380,2.0,77.0,2.0
381,2.0,5.0,1.0
382,5.0,1.0,2.0
383,7.0,1.0,5.0
384,213.0,1.0,2.0
385,1.0,4.0,18.0
386,14.0,3.0,4.0
387,50.0,2.0,8.0
388,56.0,7.0,16.0
389,2.0,5.0,1.0
390,45.0,1.0,13.0
391,2.0,1.0,1.0
392,4.0,2.0,1.0
393,7.0,1.0,1.0
394,2.0,5.0,1.0
395,20.0,1.0,2.0
396,289.0,2.0,1.0
397,5.0,3.0,2.0
398,211.0,1.0,13.0
399,2.0,1.0,4.0
400,9.0,1.0,1.0
401,3.0,20.0,6.0
402,1.0,7.0,2.0
403,4.0,1.0,27.0
404,10.0,1.0,2.0
405,3.0,6.0,1.0
406,1.0,1.0,4.0
407,2.0,1.0,1.0
408,1.0,190.0,9.0
409,3.0,1.0,23.0
410,9.0,1.0,30.0
411,7.0,9.0,2.0
412,9.0,9.0,2.0
413,6.0,14.0,1.0
414,27.0,4.0,55.0
