PeriodId,cHRev-203-replacerandom,AcHRev-204-replacerandom,TurnoverRec-209-replacerandom,Sofia-210-replacerandom,RAR-213-replacerandom,WhoDo-212-replacerandom,SofiaWL-211-replacerandom,RAR-214-addDefect_25,RAR-215-addDefect_50,RAR-216-addDefect_75
1,200,200,0,100,100,500,100,100,100,100
2,28.5714285714286,71.4285714285714,0,4.76190476190477,14.2857142857143,171.428571428571,4.76190476190477,-9.52380952380952,-4.76190476190477,-4.76190476190477
3,3.92156862745099,23.5294117647059,-39.2156862745098,-35.2941176470588,-25.4901960784314,137.254901960784,-13.7254901960784,-56.8627450980392,-37.2549019607843,-39.2156862745098
4,225,281.25,-51.5625,-45.3125,-42.1875,440.625,-50,-79.6875,-56.25,-54.6875
5,-20.1834862385321,10.3975535168196,-36.3914373088685,-37.308868501529,-35.7798165137615,83.1804281345566,-35.7798165137615,-48.0122324159021,-37.9204892966361,-37.308868501529
6,-10.2880658436214,31.275720164609,-18.9300411522634,-18.5185185185185,-18.9300411522634,91.358024691358,-17.6954732510288,-53.4979423868313,-45.2674897119342,-44.0329218106996
7,-11.6279069767442,38.7596899224806,-29.8449612403101,-29.0697674418605,-29.4573643410853,142.635658914729,-27.5193798449612,-60.077519379845,-53.4883720930233,-52.7131782945737
8,-12.8205128205128,92.3076923076923,-51.2820512820513,-51.2820512820513,-48.7179487179487,351.282051282051,-23.0769230769231,-76.9230769230769,-61.5384615384615,-51.2820512820513
9,-7.96460176991151,119.469026548673,-21.2389380530973,-21.2389380530973,-22.1238938053097,278.761061946903,-18.5840707964602,-88.4955752212389,-35.3982300884956,-33.6283185840708
10,-1.08695652173914,27.1739130434783,-12.5,-11.4130434782609,-10.8695652173913,96.7391304347826,-4.34782608695652,-94.5652173913043,-63.0434782608696,-25.5434782608696
11,-5.6,30.8,-30.4,-29.2,-16,83.6,-26.8,-94,-62,-35.6
12,-9.84251968503937,8.26771653543308,-28.3464566929134,-28.740157480315,-16.9291338582677,78.3464566929134,-23.6220472440945,-96.4566929133858,-70.0787401574803,-34.251968503937
13,21.4659685863874,66.4921465968586,-32.9842931937173,-33.5078534031414,3.6649214659686,138.743455497382,-22.5130890052356,-92.1465968586387,-53.4031413612565,-6.80628272251309
14,-5.45454545454546,19.6363636363636,-26.1818181818182,-23.2727272727273,-16.7272727272727,81.8181818181818,-20,-83.2727272727273,-56,-24.3636363636364
15,-10.9215017064846,19.1126279863481,-28.3276450511945,-27.3037542662116,-21.5017064846416,90.1023890784983,-22.5255972696246,-61.0921501706485,-36.518771331058,-29.0102389078498
16,-6.06060606060606,11.3636363636364,-31.0606060606061,-29.1666666666667,-23.4848484848485,78.4090909090909,-24.6212121212121,-51.1363636363636,-31.8181818181818,-29.1666666666667
17,-18.4281842818428,1.62601626016261,-49.5934959349593,-48.5094850948509,-41.7344173441734,73.9837398373984,-43.9024390243902,-66.6666666666667,-52.0325203252032,-50.6775067750677
18,-21.2658227848101,-1.26582278481012,-43.0379746835443,-44.8101265822785,-38.9873417721519,64.0506329113924,-41.0126582278481,-66.3291139240506,-50.8860759493671,-44.3037974683544
19,-19.7752808988764,0.898876404494375,-37.752808988764,-48.5393258426966,-31.4606741573034,75.0561797752809,-32.3595505617978,-57.9775280898876,-46.2921348314607,-40.4494382022472
Median,-7.96460176991151,27.1739130434783,-30.4,-29.1666666666667,-22.1238938053097,91.358024691358,-23.0769230769231,-66.3291139240506,-50.8860759493671,-35.6
Average,16.7178407758948,55.3959547208167,-29.9289849525588,-24.0908419352295,-16.9700571001667,160.914471332309,-18.069666760972,-59.8275504143377,-39.6817312361114,-28.3054443884464
