PeriodId,AcHRev-204-replacerandom,AuthorshipRec-205-replacerandom,cHRev-203-replacerandom,LearnRec-208-replacerandom,RAR-213-replacerandom,RAR-214-addDefect_25,RAR-215-addDefect_50,RAR-216-addDefect_75,RetentionRec-207-replacerandom,RevOwnRec-206-replacerandom,Sofia-210-replacerandom,SofiaWL-211-replacerandom,TurnoverRec-209-replacerandom,WhoDo-212-replacerandom
1,10.0206261248748,4.19766023016765,7.68653872049923,-24.6189779941346,7.06164970212955,15.969434631184,7.45204310427388,7.06164970212955,4.21092231223086,-9.03966732023712,6.77558252597024,-16.8144307789176,-18.7179922116848,-4.72205931076354
2,22.071972175701,12.5409074274559,21.630860507806,-24.605205998947,22.071972175701,41.9653533914091,29.9184749242339,24.2186618210462,3.65099179762758,-2.94234758387768,20.6534797374391,-16.8138327762762,-19.3681738986223,-5.93642844199667
3,26.8879435229506,7.66311794540917,26.5944549699428,-22.6167586477748,24.7492186086973,50.193562476933,30.2210732024642,25.8026953901229,1.89948316382014,0.101204065803717,24.5475979382837,-16.8209729524765,-19.863048408666,-5.46841965543877
4,30.7112935601473,11.7550885484911,30.0815212527466,-17.8437865406979,29.1942285357708,46.8936843542334,29.8619275243804,29.3959880525947,-7.61997534959435,-1.1710863227814,29.3400828839982,-12.0978466086985,-17.8310872153027,-5.21568666771769
5,29.3137340693113,9.30646316406907,28.2971112472916,-13.4912160944759,26.658166962825,44.7745540243936,30.0388033970793,27.8643749441313,-8.20475995714888,1.23984993136212,26.179606534294,-12.9016930694835,-13.5447961072735,-9.06093733476435
6,27.9467831220493,9.27759737543719,26.483852438331,-17.7638457628302,25.0795821711324,39.5061912396777,27.7454427232074,26.0638122311579,-10.2389276133319,-1.08774597814473,24.091839159385,-16.5375895749819,-16.5267347560736,-6.78897884431975
7,29.6753483410562,13.2550979396445,28.2115051367333,-14.4441990841212,26.7343059007506,43.7132157169663,29.0932143184709,28.2818465432058,-10.2418529287418,-0.0571025817302728,26.45988640145,-13.1911645132091,-15.0318451818119,-3.61581554570036
8,24.1608088707097,8.57303847011275,23.1250157053809,-18.9469887200989,22.4260072269546,40.5831101081392,24.2716003827872,23.1745727767017,-15.6819290596605,-5.90772228451972,21.9574871524973,-17.6370700381934,-18.9679188667079,-7.72497108553523
9,24.9800121510564,10.5508166778326,24.108164310359,-18.5645733155303,21.6722039953787,39.3157878580553,24.4357892119694,22.6395773483524,-15.9559389367604,-4.48107455636352,20.8127298688994,-17.3583314649567,-19.6992896048875,-4.47073002033954
10,21.2766836305383,6.49368549967129,20.8586422686419,-22.9944152459749,19.6764202673696,36.1624621332855,21.2894210937991,19.9050368401291,-21.3256000829934,-7.52589644102937,18.8057446832459,-20.4407202052313,-23.5138654790901,-9.55677910771509
11,22.9832111002414,8.15872180050137,21.7962481201109,-21.6873796930023,20.4370296618835,38.9078833294375,23.3805116133917,22.1266681000136,-21.5770928428697,-5.90318735563367,20.2918225970035,-18.1811588830326,-22.2958044763934,-8.86282098941994
12,27.8183448235328,13.0893471194799,27.1412333409306,-13.6311673518723,26.6480671054673,36.9785944381585,27.9487126249773,26.7590644822882,-14.0272130478431,-0.0503817843684473,26.6480671054673,-12.8790588785465,-13.8484047839637,-1.67603211571841
13,31.9322158800198,14.0042349274154,30.9359146546803,-14.3145287192347,30.7488594591638,40.9705613153797,31.1357926146228,30.9807091611799,-13.9150157115862,2.54618223348075,29.790427401868,-10.1883911606337,-14.9903476045688,-1.24723580427686
14,27.6920611226027,9.73482970664685,26.066945255816,-16.5419068331643,26.066945255816,37.4939150030103,32.6558884098916,26.688996049945,-16.5024045012788,0.503731567077459,25.6212288035731,-11.964006100164,-17.5582102879284,-2.10191033042685
15,30.3753221839798,11.461816608679,29.9240949429235,-12.4892454324058,29.9240949429235,40.3402531681377,34.5626239864295,30.0718927385895,-12.5765682449969,2.33312387906626,29.6250853969368,-7.81456062371361,-12.9974590472632,-0.952682520646431
16,26.477144290696,12.0666077633594,25.1780810724003,-11.7820798825964,25.1698346698225,34.0268543131018,27.9867042483891,25.1747983590039,-12.0913946479443,4.15173781301807,24.6165919076202,-6.48899949274135,-12.0272290107423,0.602708835387067
17,31.9457056705124,14.1178554850659,30.6958921552681,-11.1998628664431,30.0564131391063,41.8507719275304,34.5884653054493,30.6504579712178,-10.8564077798127,5.90050096893278,29.8850580323742,-6.9729107281565,-10.6708245103177,3.26602318896294
18,25.8357080982405,9.82869718886032,25.4605789435187,-14.6744219796262,25.3548692708285,38.1217755888739,31.3158510565363,26.2609335997996,-16.4188514079019,3.49796876627539,24.9657329353492,-9.58157391136867,-16.4434192238242,0.507056142902362
19,22.2063823319759,7.01669254898332,20.9773521401711,-17.8787924171921,20.7190777451677,36.055936580331,29.1846615324108,22.580389003153,-18.6512130260608,-0.203187504207769,20.1173670004375,-13.5551474706874,-18.8381555788363,-5.72529467897263
20,22.3870228562552,7.34682131910733,21.6829583385877,-18.454273996729,21.2639277761005,35.9607665323475,30.9904333629294,22.5049804010198,-20.3803231426735,-1.6503053873673,20.729548243182,-13.8295164310968,-19.0499393598192,-4.95102885956776
21,4.98506545582151,0.260453287518847,4.98506545582151,-23.7844813229761,3.42384568132599,3.42384568132599,3.42384568132599,3.42384568132599,-23.7844813229761,0.260453287518847,4.98506545582151,-0.316420983414178,-23.7844813229761,-4.20093926498679
Overall,26.5129842973687,10.5413868883166,25.3323207115153,-16.4642403387065,24.685734554859,38.8584805341235,28.4691288477676,25.4448301869968,-13.4721843338113,-0.656276314749249,24.1212664994286,-13.11598798317,-16.6735398678146,-4.16574291930326
