,Roslyn,Rust,Kubernetes
227,21.0,2.0,26.0
228,5.0,1.0,3.0
229,100.0,1.0,1.0
230,8.0,6.0,136.0
231,18.0,1.0,45.0
232,1.0,24.0,5.0
233,1.0,1.0,7.0
234,2.0,1.0,6.0
235,2.0,2.0,50.0
236,6.0,2.0,1.0
237,1.0,3.0,3.0
238,4.0,1.0,3.0
239,166.0,36.0,6.0
240,1.0,4.0,1.0
241,21.0,1.0,1.0
242,15.0,1.0,2.0
243,2.0,123.0,6.0
244,11.0,49.0,1.0
245,15.0,3.0,5.0
246,27.0,130.0,1.0
247,42.0,2.0,111.0
248,27.0,2.0,1.0
249,4.0,21.0,300.0
250,4.0,1.0,27.0
251,19.0,5.0,9.0
252,10.0,1.0,97.0
253,1.0,2.0,1.0
254,65.0,249.0,1.0
255,1.0,2.0,5.0
256,1.0,5.0,205.0
257,70.0,3.0,6.0
258,2.0,5.0,29.0
259,1.0,6.0,2.0
260,1.0,1.0,5.0
261,1.0,8.0,3.0
262,1.0,1.0,60.0
263,1.0,8.0,12.0
264,1.0,1.0,7.0
265,3.0,6.0,3.0
266,1.0,1.0,6.0
267,2.0,3.0,42.0
268,1.0,1.0,62.0
269,2.0,4.0,9.0
270,1.0,1.0,1.0
271,3.0,1.0,1.0
272,1.0,10.0,27.0
273,2.0,1.0,4.0
274,1.0,63.0,1.0
275,14.0,8.0,6.0
276,8.0,1.0,7.0
277,1.0,8.0,1.0
278,1.0,1.0,40.0
279,12.0,1.0,191.0
280,33.0,1.0,1.0
281,1.0,2.0,5.0
282,3.0,3.0,95.0
283,1.0,4.0,1.0
284,10.0,2.0,30.0
285,1.0,1.0,185.0
286,1.0,1.0,57.0
287,22.0,1.0,28.0
288,1.0,7.0,3.0
289,1.0,37.0,77.0
290,1.0,8.0,57.0
291,48.0,1.0,2.0
292,4.0,1.0,9.0
293,1.0,1.0,3.0
294,7.0,3.0,63.0
295,1.0,8.0,47.0
296,1.0,1.0,3.0
297,2.0,4.0,1.0
298,1.0,4.0,51.0
299,119.0,4.0,26.0
300,5.0,1.0,64.0
301,1.0,2.0,3.0
302,10.0,3.0,1.0
303,1.0,12.0,12.0
304,5.0,1.0,8.0
305,187.0,1.0,3.0
306,2.0,1.0,51.0
307,2.0,1.0,34.0
308,1.0,1.0,2.0
309,72.0,1.0,1.0
310,1.0,16.0,3.0
311,39.0,1.0,1.0
312,1.0,2.0,12.0
313,4.0,6.0,5.0
314,4.0,39.0,1.0
315,1.0,11.0,2.0
316,24.0,6.0,3.0
317,3.0,1.0,1.0
318,1.0,4.0,28.0
319,2.0,6.0,4.0
320,1.0,3.0,1.0
321,1.0,1.0,9.0
322,2.0,1.0,1.0
323,6.0,2.0,9.0
324,1.0,1.0,16.0
325,16.0,2.0,133.0
326,26.0,5.0,43.0
327,5.0,2.0,7.0
328,42.0,3.0,45.0
329,1.0,1.0,6.0
330,15.0,1.0,267.0
331,5.0,1.0,1.0
332,34.0,1.0,31.0
333,3.0,4.0,3.0
334,203.0,1.0,1.0
335,17.0,2.0,16.0
336,1.0,1.0,12.0
337,2.0,1.0,1.0
338,1.0,1.0,2.0
339,1.0,7.0,16.0
340,30.0,3.0,5.0
341,1.0,2.0,7.0
342,4.0,1.0,9.0
343,16.0,3.0,42.0
344,18.0,3.0,1.0
345,1.0,9.0,156.0
346,1.0,4.0,2.0
347,4.0,7.0,1.0
348,7.0,1.0,1.0
349,3.0,6.0,1.0
350,2.0,3.0,48.0
351,33.0,1.0,1.0
352,46.0,4.0,10.0
353,3.0,1.0,57.0
354,5.0,3.0,6.0
355,3.0,3.0,1.0
356,36.0,5.0,1.0
357,24.0,2.0,33.0
358,1.0,1.0,2.0
359,1.0,2.0,7.0
360,7.0,1.0,9.0
361,3.0,5.0,1.0
362,9.0,1.0,26.0
363,4.0,1.0,10.0
364,7.0,1.0,1.0
365,1.0,1.0,4.0
366,1.0,1.0,1.0
367,1.0,26.0,14.0
368,3.0,1.0,68.0
369,7.0,1.0,7.0
370,12.0,1.0,2.0
371,2.0,2.0,19.0
372,4.0,12.0,2.0
373,1.0,5.0,3.0
374,2.0,5.0,1.0
375,2.0,4.0,3.0
376,4.0,1.0,1.0
377,227.0,16.0,30.0
378,3.0,9.0,4.0
379,5.0,2.0,6.0
380,10.0,2.0,6.0
381,2.0,10.0,2.0
382,6.0,1.0,3.0
383,126.0,1.0,11.0
384,3.0,1.0,2.0
385,16.0,12.0,1.0
386,41.0,31.0,2.0
387,9.0,1.0,5.0
388,41.0,10.0,14.0
389,2.0,6.0,7.0
390,98.0,26.0,3.0
391,1.0,2.0,2.0
392,4.0,2.0,16.0
393,11.0,1.0,1.0
394,1.0,2.0,4.0
395,1.0,3.0,1.0
396,41.0,3.0,3.0
397,1.0,1.0,8.0
398,2.0,1.0,19.0
399,163.0,103.0,3.0
400,120.0,3.0,1.0
401,1.0,1.0,2.0
402,1.0,2.0,2.0
403,2.0,1.0,3.0
404,1.0,1.0,11.0
405,29.0,1.0,2.0
406,4.0,2.0,1.0
407,35.0,1.0,15.0
408,6.0,2.0,4.0
409,1.0,1.0,1.0
410,1.0,69.0,1.0
411,14.0,1.0,1.0
412,30.0,2.0,20.0
413,21.0,3.0,13.0
414,84.0,1.0,2.0
415,26.0,3.0,6.0
416,125.0,1.0,6.0
417,8.0,1.0,1.0
418,11.0,7.0,2.0
419,47.0,2.0,1.0
420,150.0,11.0,1.0
421,12.0,1.0,9.0
422,10.0,1.0,13.0
423,3.0,2.0,8.0
424,7.0,17.0,14.0
425,75.0,10.0,1.0
426,20.0,2.0,1.0
427,165.0,1.0,10.0
428,5.0,6.0,57.0
429,22.0,7.0,1.0
430,32.0,3.0,3.0
431,67.0,1.0,23.0
432,23.0,36.0,1.0
433,4.0,1.0,8.0
434,74.0,3.0,29.0
435,18.0,1.0,1.0
436,17.0,1.0,1.0
437,17.0,2.0,2.0
438,2.0,1.0,2.0
439,77.0,1.0,1.0
440,1.0,2.0,2.0
441,28.0,8.0,2.0
442,27.0,9.0,48.0
443,9.0,2.0,1.0
444,1.0,8.0,2.0
445,4.0,49.0,1.0
446,16.0,6.0,10.0
447,99.0,14.0,36.0
448,7.0,1.0,14.0
449,12.0,2.0,1.0
450,56.0,1.0,14.0
451,1.0,45.0,87.0
