,Roslyn,Rust,Kubernetes
227,2.0,3.0,26.0
228,4.0,1.0,1.0
229,15.0,9.0,1.0
230,1.0,31.0,2.0
231,25.0,1.0,3.0
232,2.0,94.0,112.0
233,16.0,21.0,144.0
234,1.0,1.0,6.0
235,1.0,1.0,1.0
236,63.0,53.0,8.0
237,76.0,7.0,197.0
238,3.0,2.0,1.0
239,1.0,3.0,1.0
240,27.0,2.0,5.0
241,3.0,15.0,6.0
242,1.0,1.0,3.0
243,2.0,2.0,38.0
244,1.0,1.0,67.0
245,1.0,1.0,3.0
246,24.0,2.0,12.0
247,1.0,3.0,340.0
248,1.0,1.0,3.0
249,10.0,1.0,192.0
250,5.0,112.0,6.0
251,2.0,215.0,7.0
252,1.0,6.0,90.0
253,1.0,6.0,55.0
254,2.0,1.0,3.0
255,3.0,5.0,1.0
256,2.0,8.0,9.0
257,15.0,1.0,42.0
258,5.0,3.0,2.0
259,15.0,52.0,1.0
260,3.0,6.0,26.0
261,1.0,1.0,1.0
262,3.0,1.0,3.0
263,1.0,1.0,26.0
264,1.0,2.0,3.0
265,1.0,2.0,5.0
266,1.0,1.0,258.0
267,1.0,4.0,28.0
268,1.0,4.0,43.0
269,1.0,1.0,209.0
270,1.0,1.0,9.0
271,2.0,1.0,27.0
272,19.0,10.0,46.0
273,34.0,4.0,12.0
274,1.0,1.0,48.0
275,1.0,8.0,1.0
276,11.0,1.0,6.0
277,3.0,1.0,28.0
278,1.0,3.0,1.0
279,3.0,1.0,1.0
280,1.0,1.0,7.0
281,18.0,1.0,3.0
282,63.0,1.0,1.0
283,44.0,4.0,64.0
284,3.0,1.0,7.0
285,1.0,1.0,3.0
286,1.0,1.0,16.0
287,2.0,1.0,30.0
288,5.0,1.0,1.0
289,1.0,1.0,23.0
290,1.0,1.0,53.0
291,107.0,2.0,1.0
292,184.0,1.0,5.0
293,1.0,3.0,4.0
294,51.0,3.0,12.0
295,69.0,1.0,3.0
296,5.0,1.0,2.0
297,5.0,3.0,5.0
298,6.0,1.0,53.0
299,1.0,7.0,76.0
300,3.0,3.0,1.0
301,1.0,3.0,281.0
302,2.0,2.0,1.0
303,1.0,37.0,55.0
304,2.0,1.0,9.0
305,4.0,1.0,2.0
306,1.0,2.0,12.0
307,3.0,2.0,137.0
308,2.0,2.0,2.0
309,2.0,2.0,50.0
310,33.0,1.0,34.0
311,38.0,1.0,63.0
312,174.0,3.0,6.0
313,1.0,1.0,3.0
314,13.0,4.0,1.0
315,2.0,6.0,9.0
316,1.0,2.0,8.0
317,4.0,4.0,42.0
318,2.0,9.0,5.0
319,39.0,1.0,45.0
320,2.0,7.0,3.0
321,4.0,12.0,9.0
322,16.0,4.0,1.0
323,44.0,25.0,26.0
324,1.0,1.0,1.0
325,184.0,3.0,3.0
326,1.0,1.0,1.0
327,11.0,6.0,4.0
328,18.0,1.0,10.0
329,1.0,1.0,1.0
330,1.0,7.0,32.0
331,6.0,6.0,39.0
332,5.0,3.0,42.0
333,11.0,11.0,51.0
334,1.0,4.0,7.0
335,25.0,1.0,64.0
336,17.0,2.0,13.0
337,1.0,2.0,7.0
338,7.0,1.0,2.0
339,42.0,1.0,2.0
340,37.0,3.0,2.0
341,7.0,5.0,1.0
342,6.0,5.0,8.0
343,4.0,6.0,1.0
344,1.0,1.0,1.0
345,1.0,5.0,5.0
346,269.0,2.0,6.0
347,200.0,1.0,1.0
348,34.0,1.0,2.0
349,2.0,1.0,1.0
350,4.0,1.0,16.0
351,2.0,1.0,1.0
352,4.0,3.0,6.0
353,17.0,6.0,2.0
354,65.0,1.0,2.0
355,2.0,1.0,179.0
356,3.0,1.0,1.0
357,9.0,1.0,4.0
358,7.0,1.0,9.0
359,3.0,2.0,7.0
360,3.0,1.0,57.0
361,3.0,5.0,1.0
362,20.0,1.0,7.0
363,9.0,1.0,3.0
364,4.0,4.0,2.0
365,6.0,1.0,1.0
366,5.0,33.0,29.0
367,28.0,2.0,1.0
368,2.0,1.0,4.0
369,2.0,1.0,3.0
370,20.0,8.0,6.0
371,1.0,1.0,2.0
372,1.0,26.0,7.0
373,1.0,2.0,4.0
374,12.0,9.0,10.0
375,10.0,3.0,1.0
376,86.0,1.0,2.0
377,7.0,15.0,19.0
378,5.0,9.0,14.0
379,77.0,10.0,5.0
380,2.0,2.0,1.0
381,104.0,1.0,14.0
382,1.0,28.0,2.0
383,1.0,2.0,26.0
384,62.0,2.0,1.0
385,28.0,8.0,1.0
386,1.0,2.0,11.0
387,9.0,6.0,1.0
388,1.0,2.0,18.0
389,16.0,9.0,2.0
390,1.0,1.0,3.0
391,83.0,2.0,2.0
392,162.0,2.0,16.0
393,2.0,11.0,10.0
394,1.0,1.0,13.0
395,12.0,1.0,1.0
396,1.0,4.0,3.0
397,23.0,1.0,1.0
398,20.0,1.0,8.0
399,27.0,17.0,4.0
400,16.0,68.0,1.0
401,3.0,2.0,1.0
402,1.0,1.0,15.0
403,58.0,7.0,18.0
404,2.0,5.0,8.0
405,47.0,1.0,1.0
406,16.0,1.0,1.0
407,4.0,36.0,2.0
408,79.0,3.0,3.0
409,2.0,1.0,57.0
410,2.0,2.0,2.0
411,9.0,3.0,1.0
412,1.0,1.0,6.0
413,41.0,10.0,2.0
414,3.0,2.0,1.0
415,6.0,1.0,8.0
416,14.0,1.0,1.0
417,33.0,1.0,13.0
418,1.0,2.0,36.0
419,4.0,1.0,43.0
420,107.0,2.0,3.0
421,65.0,14.0,1.0
422,220.0,2.0,1.0
423,1.0,1.0,2.0
424,21.0,2.0,1.0
425,102.0,2.0,6.0
426,1.0,1.0,1.0
427,41.0,6.0,6.0
428,1.0,1.0,1.0
429,26.0,1.0,23.0
430,3.0,1.0,5.0
431,2.0,43.0,2.0
432,1.0,1.0,2.0
433,101.0,8.0,2.0
434,1.0,1.0,10.0
435,12.0,1.0,1.0
436,6.0,42.0,1.0
437,146.0,18.0,14.0
438,33.0,2.0,2.0
439,27.0,2.0,3.0
440,185.0,55.0,14.0
441,2.0,17.0,2.0
442,40.0,5.0,1.0
443,10.0,1.0,1.0
444,37.0,5.0,2.0
445,15.0,1.0,14.0
446,1.0,1.0,1.0
447,7.0,5.0,28.0
448,130.0,7.0,2.0
449,1.0,6.0,81.0
450,95.0,4.0,4.0
451,21.0,57.0,1.0
452,2.0,2.0,1.0
453,2.0,1.0,10.0
454,1.0,83.0,21.0
455,35.0,1.0,1.0
456,10.0,79.0,13.0
457,63.0,159.0,1.0
458,43.0,18.0,2.0
459,7.0,1.0,41.0
460,1.0,247.0,76.0
461,1.0,11.0,52.0
462,7.0,1.0,2.0
463,3.0,12.0,3.0
464,78.0,13.0,5.0
465,1.0,1.0,1.0
466,2.0,2.0,10.0
467,6.0,4.0,3.0
468,1.0,1.0,4.0
469,45.0,1.0,1.0
470,1.0,2.0,69.0
471,1.0,12.0,21.0
472,1.0,3.0,1.0
473,1.0,27.0,3.0
474,61.0,106.0,8.0
475,1.0,17.0,1.0
476,6.0,1.0,2.0
477,4.0,8.0,7.0
478,56.0,15.0,7.0
479,33.0,7.0,1.0
