,Roslyn,Rust,Kubernetes
227,2.0,43.0,4.0
228,5.0,1.0,72.0
229,1.0,2.0,5.0
230,5.0,25.0,1.0
231,2.0,4.0,5.0
232,7.0,8.0,193.0
233,1.0,1.0,4.0
234,3.0,1.0,4.0
235,3.0,7.0,19.0
236,4.0,1.0,1.0
237,6.0,1.0,1.0
238,2.0,30.0,8.0
239,3.0,2.0,3.0
240,12.0,1.0,5.0
241,1.0,1.0,46.0
242,14.0,18.0,18.0
243,130.0,200.0,22.0
244,13.0,1.0,1.0
245,1.0,1.0,51.0
246,1.0,15.0,54.0
247,32.0,3.0,5.0
248,4.0,2.0,129.0
249,1.0,3.0,4.0
250,2.0,50.0,7.0
251,10.0,3.0,1.0
252,1.0,1.0,6.0
253,15.0,1.0,30.0
254,1.0,54.0,1.0
255,3.0,4.0,23.0
256,1.0,2.0,19.0
257,1.0,5.0,1.0
258,3.0,2.0,1.0
259,1.0,2.0,60.0
260,10.0,2.0,10.0
261,2.0,66.0,223.0
262,1.0,2.0,88.0
263,1.0,1.0,2.0
264,1.0,1.0,28.0
265,1.0,2.0,51.0
266,2.0,3.0,2.0
267,138.0,34.0,1.0
268,3.0,4.0,10.0
269,2.0,4.0,252.0
270,72.0,1.0,44.0
271,136.0,1.0,3.0
272,3.0,1.0,3.0
273,41.0,2.0,3.0
274,1.0,1.0,31.0
275,1.0,24.0,1.0
276,1.0,2.0,1.0
277,4.0,8.0,4.0
278,1.0,1.0,35.0
279,7.0,3.0,109.0
280,1.0,5.0,26.0
281,1.0,35.0,1.0
282,1.0,5.0,1.0
283,10.0,1.0,30.0
284,1.0,27.0,2.0
285,1.0,1.0,1.0
286,9.0,1.0,7.0
287,3.0,6.0,1.0
288,70.0,2.0,1.0
289,1.0,3.0,3.0
290,7.0,1.0,29.0
291,1.0,1.0,1.0
292,1.0,1.0,1.0
293,2.0,1.0,6.0
294,1.0,1.0,4.0
295,1.0,3.0,2.0
296,9.0,4.0,53.0
297,9.0,2.0,58.0
298,27.0,1.0,1.0
299,2.0,2.0,361.0
300,68.0,22.0,1.0
301,1.0,4.0,2.0
302,28.0,1.0,2.0
303,1.0,3.0,2.0
304,12.0,26.0,8.0
305,1.0,3.0,1.0
306,14.0,1.0,11.0
307,1.0,2.0,19.0
308,71.0,4.0,9.0
309,70.0,3.0,1.0
310,1.0,8.0,2.0
311,7.0,4.0,174.0
312,1.0,1.0,1.0
313,33.0,1.0,3.0
314,1.0,7.0,19.0
315,1.0,8.0,36.0
316,33.0,2.0,3.0
317,65.0,1.0,5.0
318,23.0,2.0,1.0
319,1.0,1.0,1.0
320,102.0,22.0,32.0
321,4.0,14.0,8.0
322,11.0,1.0,31.0
323,1.0,1.0,63.0
324,4.0,38.0,161.0
325,1.0,8.0,10.0
326,1.0,42.0,1.0
327,17.0,19.0,72.0
328,13.0,36.0,40.0
329,1.0,1.0,10.0
330,1.0,1.0,100.0
331,4.0,2.0,5.0
332,1.0,1.0,1.0
333,62.0,7.0,8.0
334,1.0,1.0,6.0
335,1.0,1.0,5.0
336,1.0,1.0,1.0
337,1.0,3.0,15.0
338,7.0,12.0,2.0
339,28.0,1.0,2.0
340,1.0,3.0,1.0
341,1.0,7.0,1.0
342,82.0,1.0,1.0
343,2.0,1.0,1.0
344,1.0,1.0,2.0
345,1.0,1.0,52.0
346,1.0,1.0,2.0
347,1.0,8.0,1.0
348,2.0,2.0,42.0
349,1.0,8.0,18.0
350,23.0,3.0,20.0
351,38.0,16.0,5.0
352,3.0,25.0,2.0
353,4.0,1.0,1.0
354,2.0,12.0,2.0
355,3.0,5.0,12.0
356,1.0,4.0,1.0
357,2.0,25.0,14.0
358,2.0,12.0,15.0
359,2.0,4.0,12.0
360,15.0,31.0,5.0
361,7.0,1.0,4.0
362,2.0,4.0,7.0
363,1.0,1.0,1.0
364,1.0,32.0,7.0
365,9.0,1.0,3.0
366,1.0,2.0,14.0
367,3.0,1.0,11.0
368,2.0,1.0,10.0
369,3.0,4.0,3.0
370,3.0,3.0,3.0
371,3.0,1.0,1.0
372,54.0,3.0,2.0
373,1.0,3.0,9.0
374,26.0,1.0,1.0
375,2.0,2.0,4.0
376,43.0,1.0,5.0
377,8.0,58.0,1.0
378,5.0,1.0,2.0
379,3.0,42.0,1.0
380,4.0,4.0,4.0
381,3.0,3.0,1.0
382,3.0,12.0,1.0
383,1.0,5.0,7.0
384,2.0,4.0,1.0
385,24.0,1.0,1.0
386,2.0,1.0,2.0
387,2.0,30.0,13.0
388,1.0,1.0,4.0
389,2.0,7.0,4.0
390,1.0,1.0,1.0
391,2.0,8.0,7.0
392,182.0,6.0,3.0
