,Roslyn,Rust,Kubernetes
227,8.0,11.0,1.0
228,5.0,28.0,9.0
229,47.0,12.0,5.0
230,15.0,1.0,3.0
231,31.0,1.0,2.0
232,40.0,1.0,2.0
233,1.0,1.0,1.0
234,103.0,2.0,1.0
235,1.0,2.0,6.0
236,1.0,2.0,2.0
237,7.0,8.0,10.0
238,7.0,24.0,19.0
239,3.0,2.0,3.0
240,56.0,2.0,1.0
241,7.0,12.0,2.0
242,5.0,1.0,21.0
243,1.0,1.0,4.0
244,3.0,5.0,3.0
245,19.0,3.0,36.0
246,5.0,33.0,14.0
247,73.0,1.0,3.0
248,2.0,41.0,26.0
249,1.0,16.0,1.0
250,2.0,1.0,5.0
251,68.0,1.0,1.0
252,3.0,9.0,26.0
253,1.0,1.0,1.0
254,1.0,2.0,2.0
255,4.0,21.0,13.0
256,1.0,3.0,1.0
257,11.0,14.0,3.0
258,11.0,1.0,4.0
259,1.0,1.0,1.0
260,11.0,21.0,2.0
261,1.0,16.0,6.0
262,4.0,18.0,1.0
263,1.0,12.0,2.0
264,1.0,1.0,11.0
265,38.0,11.0,2.0
266,1.0,23.0,1.0
267,37.0,31.0,2.0
268,29.0,12.0,1.0
269,1.0,1.0,39.0
270,1.0,11.0,13.0
271,3.0,1.0,4.0
272,16.0,27.0,14.0
273,1.0,31.0,1.0
274,1.0,16.0,2.0
275,4.0,1.0,1.0
276,68.0,9.0,1.0
277,2.0,2.0,6.0
278,2.0,7.0,4.0
279,12.0,1.0,1.0
280,1.0,2.0,3.0
281,1.0,1.0,10.0
282,4.0,1.0,3.0
283,1.0,10.0,1.0
284,1.0,1.0,1.0
285,5.0,1.0,2.0
286,1.0,1.0,1.0
287,5.0,1.0,1.0
288,6.0,15.0,2.0
289,1.0,12.0,2.0
290,12.0,1.0,8.0
291,3.0,1.0,3.0
292,12.0,4.0,2.0
293,13.0,3.0,38.0
294,4.0,1.0,3.0
295,7.0,7.0,1.0
296,6.0,5.0,4.0
297,25.0,1.0,2.0
298,75.0,3.0,1.0
299,1.0,27.0,13.0
300,1.0,2.0,1.0
301,16.0,1.0,14.0
302,35.0,4.0,9.0
303,4.0,3.0,3.0
304,4.0,30.0,9.0
305,1.0,2.0,44.0
306,35.0,26.0,2.0
307,2.0,17.0,1.0
308,3.0,31.0,40.0
309,1.0,1.0,3.0
310,2.0,40.0,33.0
311,50.0,13.0,1.0
312,14.0,11.0,4.0
313,7.0,43.0,3.0
314,1.0,3.0,15.0
315,36.0,1.0,13.0
316,11.0,20.0,3.0
317,15.0,1.0,2.0
318,6.0,1.0,1.0
319,3.0,4.0,1.0
320,31.0,19.0,94.0
321,59.0,8.0,20.0
322,37.0,1.0,2.0
323,76.0,1.0,1.0
324,4.0,53.0,23.0
325,9.0,17.0,22.0
326,1.0,1.0,3.0
327,1.0,7.0,15.0
328,22.0,5.0,1.0
329,5.0,1.0,5.0
330,21.0,7.0,15.0
331,29.0,3.0,1.0
332,1.0,1.0,3.0
333,2.0,1.0,79.0
334,21.0,1.0,3.0
335,2.0,22.0,7.0
336,1.0,2.0,2.0
337,1.0,3.0,13.0
338,1.0,1.0,66.0
339,1.0,1.0,7.0
340,1.0,42.0,3.0
341,8.0,1.0,6.0
342,1.0,4.0,5.0
343,1.0,1.0,1.0
344,38.0,1.0,18.0
345,3.0,7.0,2.0
346,1.0,2.0,23.0
347,3.0,1.0,6.0
348,1.0,1.0,16.0
349,2.0,1.0,5.0
350,1.0,7.0,1.0
351,1.0,1.0,17.0
352,1.0,2.0,2.0
353,1.0,2.0,2.0
354,1.0,3.0,8.0
355,1.0,1.0,8.0
356,1.0,6.0,1.0
357,1.0,1.0,2.0
358,17.0,5.0,8.0
359,5.0,2.0,4.0
360,1.0,2.0,1.0
361,1.0,2.0,3.0
362,57.0,4.0,23.0
363,7.0,9.0,11.0
364,1.0,3.0,15.0
365,10.0,1.0,6.0
366,1.0,2.0,3.0
367,19.0,1.0,84.0
368,11.0,1.0,10.0
369,3.0,3.0,17.0
370,15.0,6.0,9.0
