,Roslyn,Rust,Kubernetes
227,14.0,2.0,19.0
228,6.0,1.0,2.0
229,105.0,8.0,2.0
230,5.0,1.0,3.0
231,1.0,15.0,9.0
232,2.0,1.0,3.0
233,1.0,1.0,225.0
234,1.0,18.0,1.0
235,1.0,2.0,11.0
236,5.0,18.0,37.0
237,1.0,1.0,8.0
238,2.0,1.0,3.0
239,44.0,1.0,1.0
240,3.0,15.0,1.0
241,6.0,4.0,1.0
242,1.0,16.0,12.0
243,1.0,1.0,2.0
244,2.0,49.0,16.0
245,6.0,1.0,1.0
246,6.0,14.0,13.0
247,9.0,19.0,1.0
248,195.0,4.0,159.0
249,1.0,3.0,69.0
250,4.0,1.0,2.0
251,11.0,1.0,1.0
252,173.0,2.0,5.0
253,1.0,1.0,7.0
254,1.0,1.0,10.0
255,16.0,1.0,3.0
256,3.0,4.0,5.0
257,41.0,45.0,2.0
258,38.0,1.0,1.0
259,19.0,1.0,24.0
260,36.0,103.0,1.0
261,7.0,1.0,4.0
262,18.0,4.0,3.0
263,1.0,3.0,1.0
264,2.0,2.0,5.0
265,15.0,1.0,118.0
266,2.0,2.0,1.0
267,9.0,5.0,11.0
268,1.0,1.0,8.0
269,1.0,1.0,5.0
270,1.0,3.0,260.0
271,1.0,2.0,1.0
272,1.0,7.0,2.0
273,68.0,2.0,71.0
274,1.0,180.0,1.0
275,1.0,3.0,1.0
276,1.0,6.0,3.0
277,1.0,1.0,1.0
278,1.0,1.0,31.0
279,1.0,4.0,7.0
280,92.0,8.0,8.0
281,1.0,1.0,2.0
282,1.0,2.0,3.0
283,1.0,46.0,168.0
284,3.0,1.0,9.0
285,3.0,106.0,1.0
286,2.0,4.0,19.0
287,2.0,1.0,54.0
288,1.0,1.0,4.0
289,1.0,2.0,1.0
290,12.0,2.0,4.0
291,1.0,4.0,2.0
292,1.0,1.0,3.0
293,1.0,1.0,3.0
294,1.0,1.0,38.0
295,1.0,10.0,34.0
296,3.0,1.0,1.0
297,7.0,1.0,1.0
298,1.0,1.0,75.0
299,1.0,1.0,10.0
300,1.0,5.0,259.0
301,10.0,3.0,24.0
302,1.0,6.0,190.0
303,1.0,1.0,2.0
304,2.0,1.0,41.0
305,5.0,2.0,1.0
306,7.0,5.0,41.0
307,3.0,7.0,44.0
308,3.0,1.0,1.0
309,1.0,1.0,5.0
310,2.0,1.0,27.0
311,1.0,9.0,1.0
312,15.0,3.0,30.0
313,2.0,3.0,3.0
314,1.0,1.0,3.0
315,4.0,2.0,68.0
316,12.0,9.0,10.0
317,10.0,1.0,12.0
318,1.0,1.0,6.0
319,9.0,1.0,12.0
320,25.0,15.0,53.0
321,43.0,1.0,63.0
322,1.0,1.0,49.0
323,1.0,37.0,6.0
324,1.0,1.0,27.0
325,1.0,2.0,1.0
326,5.0,21.0,1.0
327,5.0,43.0,1.0
328,2.0,1.0,30.0
329,1.0,2.0,57.0
330,75.0,13.0,1.0
331,1.0,2.0,1.0
332,2.0,1.0,7.0
333,1.0,1.0,1.0
334,1.0,7.0,1.0
335,1.0,1.0,77.0
336,1.0,3.0,39.0
337,31.0,2.0,3.0
338,2.0,1.0,33.0
339,41.0,1.0,47.0
340,115.0,3.0,4.0
341,69.0,6.0,2.0
342,4.0,1.0,2.0
343,16.0,1.0,3.0
344,1.0,1.0,4.0
345,4.0,1.0,2.0
346,5.0,10.0,9.0
347,166.0,4.0,17.0
348,1.0,1.0,3.0
349,161.0,1.0,1.0
350,4.0,2.0,3.0
351,14.0,1.0,9.0
352,2.0,1.0,2.0
353,33.0,1.0,3.0
354,1.0,3.0,1.0
355,18.0,4.0,45.0
356,4.0,1.0,263.0
357,3.0,2.0,17.0
358,3.0,3.0,2.0
359,1.0,1.0,1.0
360,25.0,3.0,3.0
361,5.0,11.0,148.0
362,3.0,4.0,12.0
363,1.0,2.0,2.0
364,3.0,4.0,7.0
365,42.0,6.0,3.0
366,6.0,1.0,46.0
367,4.0,6.0,154.0
368,1.0,1.0,1.0
369,2.0,1.0,2.0
370,46.0,1.0,1.0
371,34.0,2.0,11.0
372,12.0,12.0,1.0
373,1.0,8.0,8.0
374,4.0,4.0,6.0
375,1.0,2.0,42.0
376,5.0,5.0,6.0
377,3.0,1.0,9.0
378,1.0,1.0,49.0
379,6.0,1.0,24.0
380,1.0,4.0,14.0
381,2.0,1.0,36.0
382,1.0,2.0,1.0
383,7.0,1.0,32.0
384,16.0,1.0,22.0
385,1.0,2.0,19.0
386,24.0,1.0,1.0
387,21.0,3.0,10.0
388,4.0,26.0,1.0
389,10.0,1.0,5.0
390,38.0,1.0,1.0
391,4.0,1.0,1.0
392,10.0,3.0,10.0
393,4.0,1.0,57.0
394,2.0,3.0,1.0
395,34.0,1.0,3.0
396,3.0,1.0,7.0
397,3.0,1.0,55.0
398,1.0,3.0,2.0
399,45.0,4.0,1.0
400,98.0,10.0,2.0
401,5.0,1.0,1.0
402,2.0,23.0,1.0
403,2.0,10.0,4.0
404,16.0,21.0,3.0
405,232.0,2.0,10.0
406,4.0,1.0,7.0
407,6.0,1.0,1.0
408,1.0,2.0,1.0
409,2.0,34.0,6.0
410,15.0,2.0,1.0
411,1.0,1.0,28.0
412,129.0,1.0,1.0
413,19.0,7.0,2.0
414,2.0,1.0,2.0
415,5.0,7.0,1.0
416,42.0,2.0,6.0
417,2.0,3.0,2.0
418,6.0,2.0,2.0
419,14.0,6.0,1.0
420,26.0,1.0,1.0
421,1.0,9.0,4.0
422,2.0,4.0,16.0
423,1.0,14.0,8.0
424,48.0,3.0,1.0
425,1.0,2.0,28.0
426,2.0,23.0,1.0
427,56.0,5.0,1.0
428,8.0,2.0,1.0
429,67.0,2.0,17.0
430,37.0,1.0,6.0
431,1.0,1.0,1.0
432,6.0,2.0,1.0
433,9.0,2.0,2.0
434,25.0,2.0,21.0
435,3.0,1.0,1.0
436,1.0,4.0,1.0
437,1.0,3.0,2.0
438,3.0,66.0,3.0
439,1.0,1.0,1.0
440,2.0,1.0,2.0
441,3.0,4.0,2.0
442,33.0,9.0,11.0
443,19.0,1.0,3.0
444,23.0,1.0,1.0
445,18.0,2.0,2.0
446,1.0,1.0,1.0
447,16.0,2.0,16.0
448,76.0,7.0,4.0
449,1.0,1.0,1.0
450,8.0,120.0,6.0
451,136.0,12.0,4.0
452,36.0,1.0,3.0
453,2.0,1.0,18.0
454,83.0,3.0,1.0
455,103.0,35.0,1.0
456,121.0,2.0,1.0
457,1.0,12.0,2.0
458,1.0,2.0,8.0
459,4.0,3.0,2.0
460,77.0,3.0,1.0
461,1.0,42.0,2.0
462,48.0,3.0,2.0
463,13.0,1.0,4.0
464,1.0,1.0,1.0
465,24.0,11.0,3.0
466,8.0,1.0,11.0
467,69.0,1.0,12.0
468,36.0,1.0,2.0
469,12.0,15.0,1.0
470,9.0,1.0,1.0
471,27.0,1.0,21.0
472,41.0,1.0,1.0
473,21.0,43.0,7.0
474,139.0,1.0,1.0
475,114.0,1.0,9.0
476,3.0,1.0,1.0
477,1.0,2.0,44.0
478,29.0,1.0,3.0
479,10.0,1.0,9.0
480,169.0,11.0,2.0
481,3.0,1.0,1.0
482,167.0,1.0,56.0
483,28.0,3.0,1.0
484,19.0,1.0,22.0
485,22.0,1.0,11.0
486,4.0,1.0,7.0
487,2.0,2.0,3.0
488,2.0,6.0,1.0
489,5.0,18.0,1.0
490,1.0,6.0,9.0
491,42.0,1.0,1.0
492,4.0,64.0,2.0
493,4.0,8.0,1.0
494,2.0,2.0,11.0
495,6.0,1.0,3.0
496,2.0,19.0,4.0
497,2.0,6.0,14.0
498,1.0,40.0,2.0
499,75.0,1.0,16.0
500,112.0,4.0,1.0
501,8.0,2.0,1.0
502,43.0,72.0,1.0
503,161.0,90.0,1.0
504,22.0,3.0,1.0
505,1.0,124.0,4.0
506,3.0,81.0,26.0
507,4.0,1.0,1.0
508,4.0,158.0,3.0
509,45.0,1.0,13.0
510,190.0,12.0,12.0
511,1.0,13.0,3.0
512,45.0,8.0,12.0
513,5.0,1.0,1.0
514,1.0,1.0,1.0
515,3.0,1.0,1.0
516,36.0,1.0,1.0
517,1.0,10.0,1.0
518,32.0,1.0,7.0
519,11.0,2.0,1.0
520,105.0,104.0,53.0
521,5.0,6.0,88.0
522,7.0,1.0,46.0
523,3.0,1.0,1.0
524,1.0,1.0,2.0
525,28.0,1.0,3.0
526,113.0,9.0,12.0
527,1.0,6.0,20.0
528,2.0,28.0,30.0
529,3.0,99.0,69.0
530,12.0,1.0,1.0
531,4.0,1.0,1.0
532,1.0,2.0,1.0
533,5.0,1.0,2.0
534,5.0,6.0,12.0
535,1.0,9.0,2.0
536,2.0,1.0,1.0
537,59.0,19.0,7.0
538,1.0,1.0,4.0
